F_2,m,F_1,v_0,d_1c,d_2c,E_rem,a_max,order
572210.2549562514,2339.99482328152,353519.4908000381,17.718662553348604,0.5792902216974422,0.2555062357667711,16328.188006026787,244.53483796763507,-218690.76415621326
623541.0529208357,2025.354589030679,369057.60314898554,17.767002342275003,0.07835193989080914,0.10836721865461092,223180.37903958512,307.8675982457265,-254483.44977185014
516006.0544080256,2108.262480798972,327629.1149028252,16.247691658585527,0.45394765002270127,0.007140201804846846,125866.60005376188,244.75417985547696,-188376.93950520037
600006.9581257161,2056.8166122352477,409824.9415758047,15.751906634602483,0.08591614491702368,0.4329110186931462,-39788.89819723659,291.71631275073076,-190182.01654991135
641927.048690909,2194.941124373489,360225.8349310459,16.406208785986877,0.32184205633022595,0.07362531485673719,132201.3180627591,292.45752497080616,-281701.21375986317
618684.1350161129,2286.362052942114,335535.938402058,18.80886594446084,0.14298482215124747,0.49256349452161724,51709.3160980519,270.59762220072884,-283148.19661405496
625562.1369934517,2033.7970688722478,369102.709892743,17.5422931198961,0.35123147951839956,0.3114338038195679,-11529.418226282287,307.5833604875483,-256459.42710070877
474522.33863667265,2144.1284013690206,290516.21765300573,18.90330328283204,0.4501575026620348,0.346227421449151,88015.2263988065,221.31246353235716,-184006.12098366691
601547.1477738197,2004.6482880000428,423011.54029101285,16.573490364669325,0.3889406236697451,0.5479003465954843,-218795.2829627053,300.0761536947507,-178535.6074828069
519105.9102838033,2077.020667407994,439422.31362003693,15.356229976205208,0.53693268668301,0.3075347489025942,-150688.24203669018,249.92813910302516,-79683.59666376637
506264.3531336841,2199.414306263129,364580.26086938183,17.736229694141954,0.07375498406231792,0.3274675109967042,153264.36721776027,230.18144043713272,-141684.09226430225
507359.8213608654,2338.891496007173,287308.11510097346,16.30128506097686,0.5315448641735124,0.3767576205495722,-33109.79778088903,216.92319726118214,-220051.70625989191
509058.04512893956,2388.1152251121357,429512.0385738438,18.165154296185268,0.11865889343252967,0.09863064628169661,292832.4231205537,213.16310024573306,-79546.00655509578
615237.5450851552,2181.498384873326,376521.716816462,18.909062520717548,0.4170737720391736,0.5813794129088743,-124723.51621123863,282.0252122812736,-238715.82826869318
522992.6600183914,2002.0588409213785,361016.7079853501,15.212137504460081,0.3484087224922875,0.09914164472977018,54015.62222182512,261.2274171610771,-161975.95203304128
637689.2709511011,2234.0514272585847,395331.60331339354,15.406247314372788,0.2672510603996487,0.44541759729328184,-124562.01618859038,285.4407303119305,-242357.66763770755
541921.8099888553,2245.7045902709815,392988.6851710374,17.109164984694576,0.49925773808459784,0.2996249802903177,-29890.670147213386,241.31482490466985,-148933.12481781788
635139.3878168028,2466.506343124163,303972.5845180981,17.656903761771485,0.3859429251051002,0.49179802760006863,-45189.649443576345,257.5056778537667,-331166.80329870473
448720.63718659733,2479.869875134218,365138.0204995751,18.966471746919815,0.08485725827963904,0.31047590255283275,275736.58179819386,180.94523494395494,-83582.61668702221
597072.6678824745,2115.5297853535244,399261.79077889904,17.43896380596781,0.24568226677768878,0.053648724721798775,191561.04199009135,282.23316543033127,-197810.87710357545
596603.85723946,2212.637372130676,438980.2788905544,17.75775017665127,0.5002479646153404,0.42684673767254294,-125393.42082067631,269.6347195225017,-157623.5783489056
441534.4391957243,2304.65588247738,445104.93418104376,18.069399401341833,0.4740413057550139,0.15673236026590798,96037.89519454801,191.58367309964677,3570.494985319441
514828.4725518085,2376.7738393460113,303117.1524542994,18.88733081346469,0.30851771171605485,0.3646019201716205,142710.3095616217,216.6081029794016,-211711.32009750913
446808.91883372684,2106.0190537472467,298698.27510551136,18.609126309918054,0.5023555399371479,0.43603520539248886,19779.6070540339,212.15806098179323,-148110.64372821548
634376.1230046229,1999.6688026516483,314004.00810310437,15.916614186979766,0.04475653815036178,0.23865204443408883,87847.76357644211,317.24059612442437,-320372.1149015185
634800.182122939,2127.3821911683895,373922.8333488313,16.74139833090643,0.44927731212956884,0.5618315094726068,-226520.38722101494,298.3949873973033,-260877.34877410776
588480.5228898594,2176.0762695162357,421523.1928432995,18.103766428941576,0.2608537297274018,0.45863780169118556,-23254.77334986569,270.4319380407952,-166957.33004655992
593639.8118241808,2125.402465985246,364774.6578006182,18.153063335563303,0.31890279511503133,0.3045881243536842,53052.58351341059,279.3070118835091,-228865.15402356256
502705.6510232261,2131.9442445070495,348342.68781161524,15.407198260823725,0.5278624223390929,0.28036868347379423,-71777.59992032312,235.79680956406168,-154362.96321161086
543337.6207322376,2118.6636355985493,353183.5783700429,16.71155791840529,0.3175568670265061,0.5392317377533021,-109294.62926734763,256.4529883851704,-190154.04236219468
464616.98962635995,2464.636425218006,434617.19341547764,16.86989841910619,0.5270468993628666,0.29147650486900645,-13778.860876401188,188.51339892262726,-29999.796210882312
462283.8530904959,2146.202318441015,350206.25327311887,17.210544070652464,0.5085014503032421,0.024617429433936276,128394.96941460881,215.3962136366973,-112077.59981737705
