F_2,m,F_1,v_0,d_1c,d_2c,E_rem,a_max,order
77174.46619086633,2201.627729780518,321824.51988820784,24.135019265811287,0.36774547436062155,0.590945356923856,477267.74287228077,35.0533676274871,244650.05369734153
405683.5518367842,2401.840170457285,377771.05939541355,1.7650944409741576,0.3905454013980079,0.3035480323494547,-266939.6573028074,168.9053072001649,-27912.492441370618
498852.84916599625,2467.33634725875,671643.1520290746,29.29213083714145,0.4453810479609143,0.3057390719369425,606867.0436925958,202.18275052780288,172790.30286307837
792205.2673677882,2211.0464837967033,139197.20438273097,9.033329529715973,0.23734352049020813,0.1352401175217612,-49963.63906279679,358.294261641868,-653008.0629850572
322519.2778610696,2365.5180112546195,800488.4224439824,70.12337608520771,0.3232192593070001,0.5318579798534138,5385698.789174413,136.34192440158694,477969.14458291285
84220.75003351303,2242.6252508721045,565253.6777311144,94.2019851114684,0.5165566395031359,0.4890014905148641,9617374.322774926,37.55453569461128,481032.9276976014
816151.6081178137,1627.5170964326887,840076.5404212258,67.66300726611964,0.4583873088652224,0.08464233138643244,3271455.163599396,501.4703746625548,23924.93230341212
940328.3534934686,2066.9410320574543,744848.90760221,46.452234122378485,0.06545389700263264,0.3027137100165693,1896629.5227912618,454.93719409956077,-195479.44589125866
927329.1184320848,2280.02757995665,499467.1629021821,35.432311342071884,0.2593141292958079,0.29751685523193333,1025813.8802967686,406.71837770037683,-427861.9555299027
476848.89896406437,2061.7011828611658,185374.55870336574,31.494522786925682,0.3088707628415638,0.18692526677700697,876113.9313978315,231.28904563284388,-291474.34026069863
823076.1946413621,2172.547596423717,656325.35734328,43.187612284121634,0.550242631916128,0.4757711145126967,1273351.0720165325,378.8530092487951,-166750.83729808207
951972.5638541549,1607.9055189196101,454282.7078585564,0.6196449057599418,0.5347237089355755,0.4568885262234755,-677552.3906077765,592.0575261746772,-497689.8559955985
652481.0008844102,2118.2355630928832,729032.602358634,99.89263795230357,0.4103589669159069,0.4534172976710999,9973436.97499092,308.03042506363556,76551.60147422377
177758.83369452937,2171.3603820087897,774403.4037838451,46.58936223561984,0.15434852620184833,0.21534714979314992,2198735.529810901,81.86519159480999,596644.5700893158
934101.0018342672,2153.639823478869,108883.69819699673,12.0381643559327,0.3970918511049889,0.1796583705642801,-55005.95018478803,433.7313006802469,-825217.3036372705
714652.9187238696,1506.0818119110297,768803.4939761702,21.737106456461362,0.048355627891507554,0.40387113740335084,30009.518543405866,474.51135328237206,54150.575252300594
8135.847591122069,2000.228461728695,762392.8512247019,60.481900013017174,0.038925058626620636,0.5655917005151593,3624200.3382617887,4.067459166184783,754257.0036335798
717815.5336982138,1731.1212109490682,16493.93439248781,14.790387050413923,0.11034879826319784,0.5966433428462359,-240753.7598806796,414.6535373480169,-701321.5993057259
182689.2225085932,1544.971755988182,2846.8214913116576,88.40167129958199,0.10428321059320907,0.09000926059626231,6020124.905954697,118.2476131362952,-179842.40101728155
533481.7896085274,1925.9350890195474,229789.52619883098,20.242848054188812,0.19535440984178046,0.5598433277157252,51041.383114373544,276.99884209499066,-303692.26340969646
