dv_1,dv_2,dv_3,dv_4,dv_5,dv_6
-0.942788669662199,-0.579544023342683,-0.242199195391051,-0.237988473844799,0.207135533398043,-0.0380381358644714
-0.541282997311123,-0.516575636976224,-0.688750622921653,0.509083297358323,-0.0367791296268247,0.110924559507765
-0.803349438983754,-0.0203547686680569,-0.468970470278167,-0.278035394466759,0.562049683276534,-0.43590847726799
-0.400586618395018,-0.271572800567758,-0.874645234477385,0.10197973771977,-0.072094634126856,-0.397510093984225
0.018899037438657,0.152964375582721,-0.985403832465705,0.228052346743125,-0.126723196975248,-0.106947124494837
-0.60689188912954,-0.609685206972497,0.0669996333127313,0.550213812958125,-0.655329665438699,0.173689896731746
-0.364844696514914,0.130278040991344,-0.189135716025249,0.532181595623484,-0.748613300670522,0.66473815743992
-0.249651271110776,-0.192371511300596,-0.661048779824647,0.0423597773771681,0.619184778644542,-0.527690141736149
-1.11620566960069,0.0796046104968483,-0.136825455742704,-0.270130092482076,0.102236606687566,-0.423674280477839
-0.153811802764347,-0.379112966752998,-0.232286421575844,0.873235203797508,0.470253677728416,-0.152610460887193
-0.419474946715529,-0.065970642162538,-0.12931021146203,0.424204845616868,0.496262420141932,0.753031286763794
-0.36895201407551,-0.275819893014026,-0.313668525288357,-0.518696401640121,-0.669968862641192,-0.0252612003857578
-0.00871471091014414,0.182872748004879,-0.320036701359339,0.716291084132267,-0.632107746176239,0.497045289606021
-0.167158513440911,-0.37483509534859,-0.348589988740169,-0.0496091427665875,0.592829142174702,0.634376711806561
-0.654877726368877,0.142129805084404,-0.294651620670606,-0.462159892523112,-0.539281512828612,-0.184726820544154
-0.227951796640945,-0.251346569408316,-0.284154716414671,-0.253217683572996,0.501130550996053,0.66785806282913
-0.053572613092147,0.12371652013291,-0.438571833451019,0.0602648552712941,-0.616029265797102,0.699993053160253
-0.663939667617698,0.463477629143703,-0.084198759109603,0.373880834790352,0.744105209786963,-0.199363178438461
-0.405736585585658,-0.0102405816459742,-0.127401744258211,0.786337932493097,-0.217937187986542,0.726441958269395
0.237925349769804,-0.472470637400706,-0.414976178959197,0.531918903383918,0.165591955419703,0.423949681738995
-0.846778648650739,-0.49356578604583,-0.37535367373651,0.430772573547639,0.36006119986764,-0.204629091732177
-0.323886266152861,0.652862363495059,-0.558982870981325,0.299903581993194,-0.56895494092002,0.216454274971838
-0.793349915248293,-0.0434618284929769,0.0671197784772039,-0.326753144080109,-0.0488949908788051,-0.698304154381259
-0.254765030092004,-0.37990973676505,-0.482413600087696,0.8417092508621,0.060031556538448,-0.258815084431674
-0.205422089511213,-0.231828401368585,-0.569874193472353,-0.13893879504034,0.604317690927266,0.359548687687688
-0.535849769997941,-0.546740184433205,-0.452419731319013,0.180861810885451,0.0227760160121453,-0.491493068770115
-0.29090239906761,0.0253050620747013,-0.60678473804749,-0.113969774269237,-0.300460118076022,0.692637030084036
-0.259771417228471,-0.502069339102017,-0.431185761985694,-0.580076095365055,-0.06918673272539,0.115697103861871
-0.870453638655595,-0.112444139489743,-0.0765383863142379,-0.35118085250823,0.574141165715233,0.058321460098942
-0.618815422835515,-0.229415097075556,0.136314579681764,0.56453966020138,0.307614478617134,0.674194084323689
-0.74864507559399,0.092022024775508,0.0290840240451573,-0.707730817594132,0.0298585835255018,0.227143298300418
-0.358708890827979,-0.101188109775975,-0.121865746339527,0.480538450115056,0.0683055064756602,-0.969840246735348
-0.84727056966627,-0.0768966247958901,-0.417219223523796,0.629376748005608,-0.248379060264159,-0.35112782932529
-0.130172309696487,0.108078511499974,-0.245740045438843,1.1186663789689,-0.190150474328355,-0.0499517141975245
-0.477673054533052,0.125218971316603,-0.534526849224788,-0.670435791487069,0.163599667779448,0.0049707187306595
-0.126489209076983,-0.638813470290536,-0.359547123376637,0.0994844121333961,0.483025180231244,0.21973134384297
-0.11149136161831,-0.28150524938922,-0.489599730158953,0.303288858083234,-0.480362361241325,0.667022511332349
-0.996059118062769,0.304470040766832,-0.367423704298338,0.40962997302178,-0.124757207648444,-0.382504283861347
-0.295995937273369,-0.0341549317705226,-0.646231816422651,0.273837582275155,-0.76169818229244,0.295702003097706
-0.586130828794614,-0.454090933626685,0.0154659254606013,-0.148192203773191,0.168504822159175,0.72830220365795
-0.571537058571852,0.363960643500784,-0.381463839158902,0.885822260840199,-0.139450441053127,-0.435278474217959
-0.0508741906901771,-0.547556654877134,-0.17608040831918,-0.177485041324303,0.438081711752535,0.200028446399224
-0.576053085595977,-0.538726765167822,0.082235745012836,-0.38114088354053,0.292951085103221,0.246560916682805
-0.69370734140718,0.4617269022087,-0.638908014753649,-0.227189387792822,-0.213326785219333,0.264415397587443
-0.575361457556533,0.287177860611402,-0.382928587000545,-0.453217710662063,-0.31308789937845,-0.484498143904387
-1.04926108579167,0.343976014074178,-0.348861069595404,0.461600252084354,0.307918476931995,0.447977612259584
-0.462237496060275,0.413385387255486,-0.829840712376748,0.0877930721709991,0.14490758506264,0.25704694898646
-0.523450916525505,-0.385823455993404,-0.514731017513671,0.395113592187308,-0.721649692953309,0.0208534469217036
-0.432876557587825,-0.529546157844594,-0.0325241317547233,-0.237056472616344,0.505698916036241,-0.509517361236751
-0.410328681401258,0.458632905930117,-0.655644783024205,0.486261022879718,-0.0664791719516864,-0.565690089160517
-0.576878203413648,-0.00434050333218073,-0.0667957452470075,-0.420680023196878,0.263979589176063,0.701053143442443
-1.15035281666953,-0.0552171008386265,0.0302637809558872,-0.212943862332779,0.165170894148761,-0.11093604913089
-0.538216757042758,0.499363677514704,-0.563636561684879,0.12410579400055,0.0181311333417799,0.48843095051404
-0.575905444515295,0.381121055580559,-0.556543549537981,0.345941822922093,0.67531199998575,-0.0743042974591348
-0.365536665400584,0.430178767952234,-0.17218511351835,0.762096896949528,-0.169218764127081,-0.669648549740905
-0.552198380803483,0.453273802013346,-0.497969362833084,0.493348638230724,-0.288240349632324,0.593571500075894
