theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,d_min
0.8602219924657251,1.3780783008214443,0.7611434194615085,-1.572870764513375,-0.7335384058939016,0.71500709992912,-1.6614788561971956,0.9358525068292465,-1.6535499525742128,-1.3985536653061492,1
-0.4056942039096949,2.91004206498461,0.3626058422703436,-0.9845399069295955,2.613304063359612,0.5699246287859747,-1.6252476960400088,0.45732330740336447,-1.3635875264467439,0.8198231745706677,0
0.8103955038680739,1.1132115399277867,1.0350746578254404,2.94322196991239,-1.2064649333649453,0.6399304527826735,-1.581250467875943,-1.1556680012236806,0.7461156109172737,0.41229812111094777,0
0.7685531695505456,3.0379805598434197,2.0747440203135223,-1.2252832988084061,2.9536678045946774,2.824534572400126,-1.5856561876653887,0.022250947613339678,-0.47909624115381355,-0.2112552921366424,0
-0.19734297474088147,2.6146095356216095,1.8181272040281948,1.354092022827261,-0.5833296472047449,1.5594758145349044,-1.6250633156917849,-0.474094869400709,1.0308800426660047,0.7125868979860113,0
-0.9422882442281599,0.02311752701815731,1.985132798330277,0.1962899587090341,2.105653595386011,0.7576923645332481,-1.7193086159592776,-0.5770138525385863,0.25389869262913,2.1668359284725365,0
0.5287853000220808,1.4792420872894363,2.2926758942814023,-1.4144180252412477,0.6894344474496479,2.7772466499196615,-1.6613885194037836,0.8866090808950939,-1.5174019580031515,-2.5631086790692414,1
-0.8962041273466783,1.2827799412953576,1.0337120875922858,2.019682210728847,-1.4469638917981391,2.296800624942153,-1.637067024269001,-1.1221841380153348,0.19211423059430466,0.7579916461700176,0
0.5159445166279968,1.2760547449218216,0.5844220656315454,2.7588668818048374,1.132218267928422,2.4679574555349744,-1.615879279760409,0.5523739213562526,-1.7174092519797153,-0.4260368025906258,0
-1.0917399974806512,2.1864459777440914,0.6287599756719591,1.237758922544459,2.2606056095239078,2.0678941234330157,-1.7159205563623723,0.9130463004280112,-1.7964024391322344,-1.8699224111548207,0
1.282943368821886,2.1970804001657536,2.6033374628312136,2.050075781775376,1.1106035168241726,1.0575210782797528,-1.6719115221743919,0.8537820997227892,0.6820028329532981,-1.176737285344952,0
