Variables,Lower,Upper,Units,Description
theta1,0.60916,0.60916,rad,Angle
theta2,0.0,0.0,rad,Angle
theta3,0.8478,0.8478,rad,Angle
theta4,-1.3830209217391631,-1.3525635242858425,rad,Angle
theta5,-1.26856,-1.26856,rad,Angle
theta6,1.1618,1.1618,rad,Angle
theta7,-1.57,-1.57,rad,Angle
theta8,0.5966,0.5966,rad,Angle
theta9,-1.0405278167289083,-1.036415794856789,rad,Angle
theta10,-2.80088,-2.80088,rad,Angle
