theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,d_min
0.42792579351047255,-2.443366910276598,-2.3136706687421023,-0.2701456521913226,-2.5495402296306304,2.988049861922755,-0.7467157640655556,-1.4461225386322876,0.1898040413559725,-1.6275214891976304,2.8649007912282287,-2.8095936885472583,0
1.8914597596097034,-2.9788635797157283,-1.3010615063347717,-2.921277398465982,0.3429234659482807,-2.740274470251129,0.6573453368239761,-2.668811085674733,-1.5677581876573448,-1.6498565182288416,-1.0563781738903706,-3.0072975204955283,0
0.9663807811133616,-1.9688932144343758,0.3430134707810488,-1.7248332251527245,-2.1718916950348373,1.149986743850397,-0.9126064780722386,-1.9464704885083712,0.2127052362714945,-2.4991532351766,-1.0836316641723012,2.310672872771463,0
0.3790875933666451,-2.117907079453738,-0.2397476547818016,-1.4389458101894066,-0.39483678487646934,2.0900174989137583,2.0177568652619575,-2.9603855336886777,-2.1291549728239247,-0.9257673092082821,0.6896302952151094,-0.738075205659904,0
0.5104646253709988,-1.804685234808794,-0.937935634497723,-2.677422871969553,1.8025737092194345,1.035659021453783,2.017952938621773,-2.0665272852792795,-1.2737823171587703,-0.33276895810900253,-0.6482111352001318,0.057461851822118604,0
-1.136767184691324,-1.742475548544371,-0.3105662199688948,-0.8267840056914482,0.8463543735717116,0.33660722669379295,-1.0186637924144835,-1.3459054343742705,-2.256113985579164,-1.077686099649231,1.3143114543546681,-2.1502363779350855,0
-0.1672313756869559,-3.010460769501457,-0.7709209815196381,-0.2589234821869688,-1.296726576206587,1.0172243121202453,-1.1881584614831269,-2.3594438273782536,0.6889298680673965,-0.4245901562938674,-1.0513489419649584,1.1221031314661665,0
1.8621964214499713,-1.6886412235677306,-0.5406776379385665,-2.6423732557126374,-2.1280261753993,0.00656369510937127,0.31718603579719984,-2.633035480285001,-1.5100329011700622,-1.8146669754846618,0.014311793883011958,-0.689437052598957,0
-0.08163181380280182,-2.8778566466156272,0.21896527967524015,-1.3504926131455595,2.5668673313014705,1.2546400974526528,-0.01909556833507886,-1.9906219078493217,-0.3690328238200071,-1.0885608884054518,1.2687274288937762,-2.491888540599067,0
-0.40258233406943944,-3.0575416815425864,-1.0975918814089842,-1.859018481917916,-1.2190581044359408,0.49768901992056724,0.8452687998550212,-2.5113905434480577,-1.1882473092799402,-0.8761096015826171,-2.6135779111904593,-0.9877007785788647,0
-0.06592295187804376,-1.7820189226631058,-1.9158717285593128,-0.3933950453650015,-2.879763114130047,-0.037752077178234256,-0.4899693188058014,-1.878565335797109,-2.2666877006197925,-0.44012618130229697,0.14120249980537647,-2.032738581512578,0
-0.31493364471981855,-1.6267915086049765,0.2338187532131255,-1.6035634665090839,2.8808524012680565,-0.11117688774992374,1.6288087179107689,-1.6996523525579277,-1.1791814777099263,-1.0980163908136236,2.257080958759883,-2.1877789926604914,0
-0.07833924234026424,-2.985819130375863,-1.2442067502499046,-0.8889248359569595,-0.3837826417795749,-3.0054242693598123,-1.548908434491897,-1.4643564962797349,0.3930844625608727,-1.435107311622518,1.317594056618249,-2.488357085827881,0
1.702633172389815,-1.7829097791298019,-2.169787467234341,-0.29924037132925063,-2.4643282811266753,2.613552815892508,-1.0049272149746669,-1.7804255789293875,-2.3126806696813,-2.7067169773077406,-0.16685756583148814,3.103565065440978,0
