theta1,theta2,theta3,theta4,theta5,theta6,d_min
2.245365414340509,-0.38399009010170637,2.0370134772167106,1.2399449057625476,-2.7582353631201095,-0.3525739840415334,0
2.574230321620848,1.7971703914719348,2.4475336827977214,-0.31169538376488903,1.6338560458051625,0.4058153683544119,0
1.5127068263317602,2.0277175592126624,1.1749188254758127,-1.7135954542593177,-2.1585562956114304,0.8508759466767617,0
2.719788395959757,0.8271684210444601,2.824389064067176,-0.9139260578209152,-2.3061053773421003,1.0551081878897235,0
2.875730459700222,-1.918401781790799,1.2348723412688165,-2.8660072218183137,2.6625369050990346,-1.5568278461179768,1
2.1024746489357953,2.937083143044681,1.1825287707891983,-0.8138239428065397,3.1040739672649305,1.0487114148484067,1
2.9969808851092745,-0.15263137147819394,1.3663234905007327,1.066839440193403,-0.2932663963325699,-2.1804811187606936,0
2.77803357596191,-1.1787878121814652,1.959232226559341,1.9146515995379079,-0.6737755060271122,-1.8450614833642607,0
1.933910550360118,-2.263218996972872,1.773162963861017,-3.094947276516283,2.192970030999643,-1.36621931995013,1
1.5415411034272712,1.7636520644924114,1.2012163757548129,0.4318596894544595,1.9361402505822585,1.0863347368658447,0
2.5408987447744815,-0.18158519452638444,1.2403080216598268,1.6648288218304388,-1.0528351627377406,1.0241275687499636,0
2.2967654967757616,-1.2316639039314452,1.4983194169506224,-0.3975666738866068,2.62972122523191,-2.0145968759449113,0
1.5171630677242847,-1.6714985739995833,2.501405448175749,-1.3734338367610088,0.7905978686171791,-0.8750536473336354,0
1.6090158340613818,1.783562108890132,1.3121273304215997,-0.588115181688901,0.4567564635866961,-1.892468933227621,0
1.6535734311864403,-2.575483319463108,1.887986024861939,-0.23950248866868407,-0.9509893578861592,0.5022086429196038,0
1.605192718091515,1.2333631243883691,2.127487279906835,-0.7474722491714583,2.96819642812502,-0.8127065416914641,0
1.6030926281206246,-2.590548146888527,2.169919915107489,2.90182588776587,0.3321000625375201,-1.4680755330167283,1
2.8857543613600543,2.9475536730493404,1.7688996655190437,1.362590924372474,3.0141313888430568,-1.7220787228683663,1
2.1009809548735676,2.5293092960470305,1.1064341568813445,-1.8698723970104452,-1.5004124993741703,1.3282088648940782,1
2.1731579358348556,2.24039357838194,1.686428056187961,1.378754074466165,2.2814631730825083,-2.199693806032944,1
1.5880611047929158,0.9413962896080013,2.263204340064333,-0.528931576603362,-2.724596354577987,-1.0229402635703506,0
1.899064245786143,-2.233241235867947,1.970973692833767,0.5506182602492582,-1.3350333152638247,0.17578471358578973,0
2.6889682450159516,-0.9620251399903395,1.575927837387772,-2.9979369606430284,2.870356942626444,-1.494943133075928,1
1.7973922448681723,-2.621457048487272,1.307155038140438,-0.058382378667157564,-2.5388463923467004,0.17200861774532594,0
2.503008893697844,-1.4639520941914879,2.4292125402880718,0.12987230128718918,2.628705264043536,0.5169026523195495,0
2.819912192263434,2.48884043300615,1.6321503972280762,0.3394766681697239,-0.4867787620768014,-1.8415276674844205,1
2.2384624785013885,1.0015567601884032,0.9510124209770621,1.6877510032234881,1.1894898929573787,-0.11835586368426299,0
2.0572000445597336,-2.906159357078768,2.6564619520692636,-0.8109178438626148,0.6438329039430948,-0.4951655533710315,1
2.064759591840503,2.845295159586166,2.8282407650096646,0.09459490868532328,-0.6772100263011849,-0.6141336812271201,1
2.1961214745007887,-2.8590535247296325,2.3014008263133974,3.0933002436243906,-0.8072734866709981,-0.6041855648940733,1
1.5564266235205502,2.4717891692378555,2.50237944620424,-1.156407324778226,-1.894640872305291,0.49773501604357717,1
2.679661375766062,-2.5477226045703363,2.140192455706529,-1.492318054766195,2.1346817681140746,-1.6967910302927491,0
1.8165714877680097,2.08018225135751,1.028249222333295,-2.01496478082982,1.8107073094590613,-1.6499242012372919,0
2.252723209779452,-1.1916225573724446,1.9154813901981518,2.9642023390854217,0.3693648103887135,-1.5116824997354876,1
1.73813857246606,-1.6984089571351917,1.7038382864652628,1.1161228511054158,-2.943985287015235,0.9352458327333193,0
1.5492153087944753,0.509606985769397,1.677365413295464,1.9106319232874474,-1.5851877284641243,-1.625140505963969,0
2.373543372470121,-2.363729103947075,1.319042320958784,-0.6434547551141927,-0.34769961464133603,-1.4005597578669051,0
2.4256318709553026,2.8624075500718837,1.9228385551166918,2.6688164763098787,-0.09082837060848448,-1.0460768708017367,1
2.2400513692530692,-2.4759101506762677,2.6878901762817042,-0.5081562003272526,2.000937513716076,-1.3646990302036257,0
2.075265266903448,1.9121170162469272,1.7518355576563065,1.7889978935819424,2.1245005750888706,-0.10327507196946861,0
2.549057918119514,1.864723675693996,1.014916746562546,0.1933068759794936,-2.0917991655708623,-1.863254965263074,0
3.038479327901121,-0.5492603731950307,2.127478166187557,-0.46563838056706164,2.0935440921525603,-1.4422999170236879,0
