theta1,theta2,theta3,theta4,d_min
-2.0577550974789944,-0.620875209818468,4.503989874086964,2.47894244498561,0
-2.8116197327133006,-1.3854204317336811,3.279914656998833,3.5929676742785395,1
-4.410139946374788,0.5066858858666632,-1.6227768156387796,5.3601682599384395,0
-1.1513336825143945,-2.009232940353947,-0.7107176627287206,-3.4258816543832022,1
-4.032456719804978,-0.198080766093661,4.11504752022683,1.6537048529731342,0
-4.1551057516500345,-1.3445530355243185,5.911967186399985,4.937601283806804,0
-1.7168243901825835,1.9859024184661282,-0.4179841931884507,-5.729824701712407,0
-3.059204500536202,1.8015645417436636,3.0742126782021826,5.871922239373679,0
-2.3789947603400194,0.21459908274808237,-0.3823790103758524,-3.900239729901372,0
-3.7664012619296092,1.5436497769931732,-3.430018575920896,2.1328637732123292,0
-3.218886490493224,1.1311225783945087,2.5153296811482493,-2.356674984241564,0
-3.0569608429021287,-1.0510120625921833,-1.413271559381009,-2.6585990146361342,1
-3.539873574394379,0.9720885799145842,-3.7691529769126397,-6.187529891927371,0
-2.774403930454319,-0.21652931777561424,2.576877155546769,3.5259566296359166,1
-3.852465693282555,2.0147555992684523,-4.524149703516622,-4.841502276388174,0
-0.9941536410364646,0.9108218824404597,0.8193654974037319,3.3283856491452815,1
-4.591712042355692,1.2886557670227514,0.7436419389623943,-2.462386768333591,0
-1.2348139386878563,-1.399252043925321,-3.5848165093867133,-1.14888023481857,0
-3.3153157135082942,-1.4266154906819848,-5.547717564385331,-2.7458183162037235,1
-2.3415191841606258,0.33767105230268957,0.7163238334064559,3.565761506376554,0
-3.5282208164083197,-0.987346553837233,3.9440960314053948,-4.182820125959239,0
-2.8042024238489134,1.8812879367915607,2.792833443491415,-0.4788219880425748,0
-4.78486377110269,-1.4119624961135617,-4.366959989922605,2.4657839109763655,1
-1.5494511949579577,-1.375183514491445,-2.493008160302671,1.6363493695732387,0
-2.5881236623644837,0.5489971619241181,-4.797845869366328,5.801434666741902,0
-3.843970851992384,0.7123705012291759,-2.9406732840684344,5.892855299487413,0
-1.2461596226756906,-1.7772737746227796,-0.6360195330740144,-2.860645983224803,1
-1.2125982114622884,0.09279039261775024,-0.5554497996898453,-3.7383161381719074,0
-1.825663568550556,0.012060285378093116,-4.059733846283249,4.479075408200237,0
-2.5947893582824255,1.624754261308154,-0.8529114204246975,1.5989990392226865,0
-1.0610742879759751,1.3287437484664202,-5.2193793264829935,-1.057459028737143,0
-0.8682226155404491,-1.5249739055883222,-2.1369431731002164,-4.4647761878424514,0
-1.7084861855907332,1.8167313412186767,-4.137352315176711,5.3395086868125725,0
-3.2823513610695674,0.05630522287297701,1.1418985730065945,-5.993583379866999,0
-2.9615713257465006,1.5840348803319664,3.551154454263595,-5.240911200974172,0
-3.439075677377665,0.13872525840794792,5.499100274485785,0.9009043378435067,0
-3.0830242038901905,-1.0712966968424666,-2.1154933933775446,0.2596453750425143,0
-3.2498622952657303,-0.36203204170290393,4.098226567881134,4.975779294307471,0
-3.2373943701241927,-0.10432178067835007,-4.9162886913388295,2.1633355685800355,0
-1.2449687680907813,-1.885102698131829,2.8510523554432465,3.3742124984857726,1
-2.8736028812964856,-0.9607044525288866,-3.388512274360297,-5.810098294427182,0
-2.385864792358862,-1.0992712551419241,4.142159173743109,3.8716384891276308,1
-2.8197095910744374,-0.16813387718772077,-2.62607195296011,0.1891175431503349,0
-0.8717667913024618,-0.895156823471734,-4.2125258111698525,-5.715922620432348,0
-2.5003835624713133,2.158107301404694,4.91946646416172,3.122516724379282,1
-2.016816844847679,-1.636265710435014,0.23686100645380037,-2.31193110900524,0
-1.1978715964961721,1.3668551464975813,-1.5868589253462018,-5.093498649147368,0
-4.800284065042199,-0.019191960003389408,5.486373170704268,-3.2534095779285996,1
-2.7523771633196756,1.4952569255470425,-4.354748983196355,-4.028390049538798,1
-4.597216017264688,1.7106184379897291,-3.8127805986249603,-2.38233466837481,0
-4.225723577139132,1.364190106226427,0.009309298701419166,-4.472647367956291,0
-1.9301443836664243,1.120428962373385,-4.6243129446012965,2.23139294057749,0
-3.191665249376368,-1.3043316456374314,2.4399361916746534,1.0188246118145337,0
-3.189342407500032,-1.6977081305946138,2.7055135479744683,3.0016390891792044,1
-2.2152010470409467,-1.8847428018499055,5.370185640641735,-1.2864178855587456,0
-4.324655817842052,-2.1370072422425785,2.045574512310595,5.722628108509942,0
-4.169044803914193,1.6581990797144623,-5.967764788188621,0.6932874116249179,0
-2.7341322714345653,-1.0687695792158993,-4.517334660877258,-1.0159241493872235,0
-1.9889533464590778,1.2172957746684738,5.438771663298653,3.822773100098913,0
-3.465285329258693,1.637887546232447,-6.055969993249034,-4.9091514006223695,0
-1.7738980189352196,1.4609483378590093,-3.358032280901593,0.38646605792411215,0
-2.0496699653386536,-1.0353472951639437,1.2950258961743941,-1.098101089922575,0
-4.265086841487542,1.3375310359605765,1.9082536812844753,4.615682334809201,0
-4.303338016540565,0.14660674088652836,-3.307520720750381,3.089939359857687,1
-4.9662813485704405,-0.14328946241579876,-5.444020756642963,1.1860868167810343,0
-1.0266035896703052,1.7241928426470987,-2.3821964955136252,-4.472968521882448,0
-2.18600781639165,0.06291953862461375,-2.7039157658355295,-4.350615756387744,0
-1.7311936019067686,1.146308486812476,-5.584233660896893,-4.08650312504569,0
-1.6724666547390048,1.6127979354173654,2.2697744566018008,-1.3360014621897252,0
-3.3785675734152996,1.5874200428483176,4.710062074466683,4.410213232886908,0
-5.064414951843591,-0.6286152478213953,-3.306484418928786,-3.1476920475474195,1
-1.2920103752576693,-1.5085831217976895,-5.66136825370942,-1.5874064209477812,0
-0.8776682149651593,0.4736483203092523,4.18823943558431,-5.6273589571982905,0
-4.777755090692528,0.40798584137410465,4.3153013920677745,5.05732348773087,0
-3.208509392445532,0.4053115848258648,3.5102379120878906,1.789589946504079,0
-3.094182540865054,0.9559166928662939,0.4530145315023244,0.1786392495916056,0
-5.043766839812141,-1.6440495615210322,-1.4432759289795607,1.7529146867381025,0
-1.1080024974911789,0.5739693648190478,-0.2778614382617528,-1.0438695304482444,0
-3.998599816522671,1.4238904641982124,-1.6781108301823329,-2.1666557109784295,0
-1.1301698175098038,1.2829890156693824,-2.551231479384657,5.637655559544675,0
-1.5990090291686658,0.2353381999938411,-2.1557832651411086,0.4450609602648399,0
-4.240566581066369,0.23592494916987405,3.823161359015292,0.4109917873856963,0
-1.531905804686847,1.8686417193869027,2.950258118617252,-3.7377983103409775,1
-4.808730240377891,-0.10400468136789387,-4.620788363492609,1.4366095412065123,0
-5.018247479576821,-2.0890373092812737,-5.218765171576586,5.4754041731198635,0
-4.5550190173762655,-1.6485348789780359,3.779105251628814,1.176645976097408,0
-1.997881828468984,1.998026742912367,5.602099908985669,-3.097505075779809,1
-2.891404432781263,1.4794966864138153,1.4590411923029638,-4.128581220594572,0
-2.3129095011395653,-1.969677778636658,-0.42722647855578444,0.28425510044482216,0
-1.0561708627046142,-0.8119445306486492,-0.09855561237261057,1.2508936255240108,0
-4.0656725955139725,0.1956345640901871,-4.809179212294612,-5.178374810400749,0
-1.9364143673579197,-1.6771734552528874,3.445476986741551,2.150666551155923,0
-4.473583938821534,-0.29004066006857854,3.297403767207393,-2.882081142168193,1
-2.923408039800503,-1.4672164437787125,-4.300397693270004,-4.423840840870073,0
-2.025960083875146,-1.3363484634732967,-1.4655030259157327,2.8848525009878676,1
-2.8811751152654144,-0.7844608591898905,3.5205867635019663,-0.25911827459577363,0
-1.523580389085235,1.8461656358118446,2.735068564205762,5.667004929648244,0
-2.040614627191788,0.37309473821123884,1.721647982929567,-4.7486637201109865,0
-2.8941857071991164,0.6886628723858315,-6.125478265239148,-0.5737663992676634,0
-4.330541726660027,1.1444500421512291,-0.5206360926101983,-0.7245345640272616,0
-1.7102862991215502,1.1006267628078668,3.53305308501984,-4.891009557888852,0
-3.108809515609459,0.4329657133886755,-2.714110020427671,4.231421040541384,0
-1.3835720768521154,-1.4769570761428645,2.081000285498104,1.8855701954184907,0
-1.9458065892927805,-1.5334285757376183,-5.915766239751864,-3.2551995910031932,1
-2.8272173005352386,-2.137546148043349,-3.790554906206003,5.157616132763919,0
-3.801907955826409,-1.4023389507104986,-6.211801283343522,-5.631176562299149,0
-2.5833319700323645,-0.5229719702875417,-3.283776572920001,4.388575067113796,0
-4.090779497213232,-2.0674486014289473,5.373110602963842,3.4176814927510195,1
-1.568791147910439,-0.5550704317164783,-5.775699677688846,-3.7456166893686644,0
-1.5799251430287486,-1.1549166499412646,3.079562891810288,1.6329487678795678,0
-4.922208895685355,-0.8084032438575373,2.9468409147056294,-3.8553988746865646,1
-4.630493197707176,-0.1747134425499839,6.031372098327444,1.400987691071994,0
-2.742361596456592,-2.1097622255231276,-5.748077072153102,4.824870134767225,0
-2.323719865664843,0.7198545615439462,-5.127984166848073,-3.9748226452631936,0
-4.463594933552635,0.38222022261207833,3.568056711168084,1.7132887768736778,0
-3.3099997970996786,-0.36611592905928236,5.602067136689674,-2.495136535615143,0
-4.353556224492935,-1.5305332319501361,1.8743684298810797,5.5338657857757125,0
-0.8877788602400303,-1.1585185966049432,-1.2053280522959797,-0.3244407576983166,0
-2.3470726623355667,-2.0203017909147127,-2.7873711449874077,-2.4529101767639587,1
-2.8204168164592853,-1.1480865901282573,1.6909417147733832,-1.1076551388852378,0
-3.1475901185120954,0.6114202906055914,1.1091264800171432,-2.297966153855492,0
-1.4284244826421428,-0.9608335301909237,-0.324893600867461,-3.44655357535511,1
-3.872195995515602,0.159263380637912,2.537147394746264,1.858232936447199,0
-0.8698261717859976,-1.7254392199905035,3.610148708143581,0.617253458011974,0
-3.063924325441968,-0.016253281499527983,-1.7501438793048063,0.16000491226088354,0
-5.015615175089324,-0.1881358326318585,5.288478398027608,0.04562954029972577,0
-4.541365168828763,-0.44249311377689415,-2.330499311692832,4.237522471054061,0
-1.8871887585012743,-0.7787329958853311,-5.374937112763828,4.295434730655656,0
-1.3733748686057274,-1.660006047553067,-2.0833266913005843,-4.107189768393582,0
-3.266291374978653,-0.8797658919750124,-6.095583484885512,4.109298211979822,0
-4.73595659639234,-0.370334382937924,-4.350621987798427,1.266555523790216,0
-1.984599051629754,0.2665209364905512,5.757870512116214,6.2230337756504825,0
-4.101359394214715,0.2350165484618416,2.3570730175261216,2.5799039504792,1
-2.3213088818901078,-0.07119011131228259,-6.145260779105507,-3.6542358079558475,0
-2.2693674300237165,1.6269800572166209,-4.196209739470738,4.223981889310989,0
-4.889130568202923,-2.0683335708248185,4.258715819874321,6.158440103937983,0
-3.587407966606145,-0.9843645337468405,-1.3492866890254867,-5.274580997403916,0
-2.0169943337520135,-0.9451109614979969,-0.38525370656855973,-4.387547448905703,0
-5.088668787763611,0.7874631712935689,-5.719207442483057,-3.3553753011070495,1
-1.830160775487034,1.0012058460445528,1.085751373065837,-0.08427790331562779,0
-0.8952014397175025,-1.1269151496433645,4.3154701126175175,1.7281140780094466,0
-4.415153448326319,0.7204355052520408,3.3020619191364853,-5.550157469578622,0
-2.7464231954465594,0.34603822148468577,-2.0289865697855856,4.326654648487064,0
-4.405171939309817,-0.5895859521491105,4.421314892027483,0.06018102526793534,0
-1.6111620962215478,-1.849823707272648,4.3994451933515455,-2.002179607370455,0
-2.219791418286329,1.2951064449151866,-4.961454768345353,-1.2741805158286494,0
-2.2447688501674845,1.1999028140356205,-4.050517324591688,-2.0239732167433617,0
