plane_points_1,plane_points_2,plane_points_3,plane_points_4,plane_points_5
0.766438740130216,-1.81524463515636,0.762372285045757,-0.187430671526721,0.410334189963926
0.751619462529524,-2.17330839843935,0.537297218974404,-0.673732952069017,0.352212911932878
1.31019643826413,-2.14878699283281,0.0552049169954438,-0.152904688947366,0.69215936542419
0.893275386945975,-1.84345357841176,-0.0224379130945111,-0.389391246887628,0.620131072739511
0.612764353386439,-1.99593916974015,0.486879171477975,-0.668149901720247,0.913040234012047
0.767738885904043,-1.99916826835869,0.225640821498502,-0.179197537259979,0.482603343247058
0.547119989783185,-2.03442848173449,0.469208258742515,-0.561682738821136,0.520579976226184
0.742418518988014,-1.75351898326103,0.375250101029337,-0.687489357658528,1.04517894525912
1.06237989454182,-2.25998893618334,0.248708119113084,-0.468785362983255,0.544244095038208
1.07385906978877,-2.12618648252927,0.0971945662981001,-0.695687042184497,0.351951748962346
0.839368009058821,-1.81766681687208,-0.0493472733700952,-0.73272014413341,0.620019812942637
1.41361885711265,-1.96974909799047,0.195096539394566,-0.214035682858478,0.778320292187681
0.90577773289442,-1.91225817998269,0.598657211398236,-0.656064015794128,0.947332062202641
1.03556323983871,-2.23708674703094,0.14974792808601,-0.487796358751968,0.700704723229036
1.1846136913212,-1.83308855743543,0.815001927878722,-0.553838223797418,0.0505378156709497
0.798239078700508,-1.82467693061651,0.508169564814876,-0.716429707388092,0.24366265807046
1.28580283103194,-1.85829194202519,0.327991692994385,-0.603642348203332,0.124421211332192
1.53068732754056,-1.71693812301044,0.633070315897357,-0.352791202668762,0.789178299915651
1.25484992896361,-1.96787471467995,0.626709682754831,-0.279874554491571,0.486199128530927
0.938675041208811,-1.97807623445133,0.53513537472403,0.160836919247951,0.382263952765676
1.30171242788783,-1.92247080587894,0.487545809579901,-0.573980294089468,0.544582766752989
0.936963816636167,-1.9704822229468,0.801904071990659,-0.677509918887408,0.545178357864443
1.08124191979613,-1.79906148324442,0.0233856544878846,-0.464167991068665,0.726065450223646
