tau_m_n,tau_m_max,omega_n,eta_m,P_n,N,eta_t,phi_b,l1,l2,kp,kd,accuracy,reach,robot_weight,pose_stabilisation
0.566854230158835,3.2036350739616117,1328.5469248387858,0.7828995788070083,15.049775349485422,57.41887057190235,0.7011688393420118,9.72384151244551,0.2300923276714957,0.30932804365740085,124.15960484651625,37.80294966545806,0.06568368252158374,0.5394203713288965,20.394203713288967,10.0
0.5616618448221541,2.541477923428412,770.696761495107,0.6414388530769402,69.8024275272324,134.61427055708344,0.7574892868822283,1.3215842183878967,0.10053373251137362,0.20613856942037148,244.13960487898066,36.79363363966593,0.014073726825050703,0.3066723019317451,18.06672301931745,10.0
0.17278839158508583,4.561055847294475,969.95594028734,0.6070688175089956,187.75296933010446,58.923003827501006,0.4113837059715389,11.715426503094449,0.19774325479100205,0.4397635046044789,143.91116225516157,15.684140772528572,0.13351551942712314,0.637506759395481,21.37506759395481,10.0
0.2077781744811989,2.690936137088249,676.1382991730799,0.3510190186925105,173.45355838159875,98.05958053959617,0.5205690148886902,1.1054081900245527,0.2786848117510271,0.23240358866078983,127.4956758060349,18.649843117907324,0.23709744060186058,0.5110884004118169,20.11088400411817,10.0
0.8884770876097777,4.71866648367822,599.8310571767902,0.3305522172164329,31.912023241087716,142.9353884465468,0.34147672315721717,17.047646358605327,0.4771357574689462,0.509904429119012,77.95939962553149,13.435902206079202,0.03393017092160522,0.9870401865879582,24.870401865879582,10.0
0.04513092784121711,2.6050598567444534,823.9366689376361,0.9614841240344808,119.60358211454265,170.92864481670878,0.37775589524388914,19.572682878008777,0.34931977343815757,0.34683603813532293,92.91693456390584,22.255859311739087,0.3301584880883919,0.6961558115734805,21.961558115734803,10.0
0.39812749953043797,3.3390108112197465,628.0526105477869,0.4908142198088912,46.7095812645748,65.49252186605744,0.899608454748265,11.78662332254952,0.27933639576395564,0.30433468868335645,212.80407693320694,15.009187597231117,0.14498731386878946,0.5836710844473121,20.83671084447312,10.0
0.9268426220975043,4.731118478627931,891.4919795306635,0.4969468446983272,95.69883503519846,135.19013456427388,0.5963634335873111,13.175068196334019,0.37719951168988186,0.260357773347038,110.3024178295753,28.908477793566654,0.1649324756642122,0.6375572850369199,21.3755728503692,10.0
0.0955451284811393,1.6642505296558925,1223.1138021453862,0.5418225336415601,50.7624047864273,134.4008615862286,0.8166546568550704,5.148447246907429,0.5133949409618722,0.5637524298125248,139.87230042875774,18.16724685535477,0.2949957518751865,1.077147370774397,25.771473707743972,10.0
0.05352341433273232,4.782079564087626,892.4847342649438,0.9429253004090724,120.00572970254609,50.69281982649914,0.2789064994925768,13.608376113398439,0.38133400691596653,0.11326621860303718,136.41860795502075,28.819265221073294,0.28529665181236763,0.49460022551900373,19.946002255190038,10.0
0.496921064956869,2.86302976142902,505.4731088346275,0.8399872843701994,72.83605268176004,181.81454296738093,0.5297954406685398,11.301558212614111,0.23517089409966377,0.18029415629245935,84.11859370737722,37.75360355130391,0.16011536716804886,0.4154650503921231,19.154650503921232,10.0
0.5369514358284985,4.861663813926942,1463.5799122221538,0.8917315912768027,45.64576562535638,139.140904145237,0.908610568491653,7.489278728978754,0.1505530829677925,0.5054814511199609,237.56529099499656,27.15184157128226,0.06569884569555072,0.6560345340877534,21.560345340877532,10.0
