tau_m_n,tau_m_max,omega_n,eta_m,P_n,N,eta_t,phi_b,l1,l2,accuracy,reach,robot_weight,pose_stabilisation
0.0070582280818107124,0.8498302379139216,387.9061683593288,0.8792065561974546,164.57965299695576,176.34335274551339,0.9859308773044104,15.721286105539075,0.4082995524204874,0.41164313617734966,0.06962460642828772,0.819942688597837,23.19942688597837,10.0
0.06542048630843342,0.8890355528816726,432.14729729408305,0.9928837059839823,150.29514903286832,64.08580826771653,0.9542818130499904,1.2763451220835065,0.3563297536091175,0.4103588611033402,0.023526032281057284,0.7666886147124576,22.666886147124576,0.756
0.08811929334113866,0.9305942811654189,498.94565311324476,0.9332264681526072,165.94673607408407,59.195806177795134,0.9892655221203139,0.8760753157445755,0.40923378967427354,0.40515170286133717,0.01523426055321997,0.8143854925356107,23.143854925356106,0.735
0.055841393039169615,0.9223237187079726,436.7998253303993,0.986759801584605,154.07321779164067,58.42070386264285,0.9106911416269093,9.514098524518674,0.38662066700125214,0.37409038605097594,0.01967867433147472,0.7607110530522281,22.60711053052228,0.718
0.009953515207665877,0.9078282066962813,455.6651329247508,0.9519646342749386,134.36410044354054,150.71465362452028,0.8919227451940578,5.766562078604882,0.4184862922169108,0.3876282022493285,0.03350503730275778,0.8061144944662393,23.061144944662395,0.719
0.06619142779178734,0.7586593691186336,406.7121300449405,0.8772582657132623,147.37515284236065,147.10935465329518,0.9844344260185534,11.374823919057874,0.3943509757978851,0.43855580333926436,0.04109618811303506,0.8329067791371494,23.329067791371493,0.748
0.09401857383875001,0.8919087658563246,404.1322620232239,0.9466306373602359,149.198909682755,113.03691009869938,0.9181326292340971,6.079001961252244,0.3550397522335257,0.4048068819670926,0.028445105792304415,0.7598466342006183,22.598466342006184,0.716
0.08642275456686364,0.8919550475968958,428.4354494791622,0.9908710936695909,175.51623458877054,72.20758380329949,0.9369425323382731,13.238330294537901,0.401179257129048,0.39742046189938063,0.020556942934588346,0.7985997190284286,22.985997190284287,0.743
0.024837826944761415,0.9757926327328346,490.2026480854578,0.977673511221082,181.64403424684096,43.507179116346265,0.9655222866797563,9.237544605027747,0.38969354235780895,0.41112264578559843,0.0073181728138616165,0.8008161881434074,23.008161881434074,0.771
0.024449447720008795,0.9015438806763953,408.53550151637046,0.8942376983825855,162.29460732911684,124.54238896783326,0.8946554113811096,1.75299838632202,0.4184817097388012,0.37878234620391144,0.05717007048079292,0.7972640559427127,22.972640559427127,0.717
0.0017327914997391871,0.8159752272763424,473.93964455211284,0.9770822759383913,140.21281797779238,137.53352837384932,0.8812623205493509,5.44483123690318,0.4289403976363719,0.3815701722018619,0.03125885680944018,0.8105105698382338,23.10510569838234,0.726
0.016029001149732425,0.8400002521819712,451.0513392923212,0.9904383614938885,181.77311729959692,158.49214261385632,0.8841568411027236,14.389259119018735,0.37378457083299144,0.4591030946647124,0.027244259018134636,0.8328876654977038,23.328876654977037,0.736
0.06576232625116007,0.7538033792199237,478.4465189697197,0.8826307841511508,154.2801286993756,104.09862288667784,0.9312579389124291,2.890483777320938,0.40273126267501574,0.4711087046191421,0.05711773673251086,0.8738399672941579,23.73839967294158,0.75
0.09855757024700987,0.8659625464105997,383.5521224918632,0.9612176701030424,181.56804835353373,33.420580654454625,0.9261219090517949,9.646068738858006,0.3571757107862537,0.4352936162970258,0.05849151617900278,0.7924693270832794,22.924693270832794,10.0
0.035490705766413416,0.9410849860478524,478.39385368879164,0.974525387090193,153.94323322365753,70.04634946378404,0.9634648178854645,10.413448049430755,0.3905004347235064,0.46001947418806594,0.019735527555636668,0.8505199089115723,23.50519908911572,0.763
0.015047503459012387,0.9664778657214638,383.66745648348115,0.8793773868927826,159.72345037698304,130.83601395597174,0.8730959009799658,13.188452693838036,0.386337799083166,0.4467578747047297,0.07009331180902179,0.8330956737878957,23.330956737878957,0.735
