tau_m_n,tau_m_max,omega_n,eta_m,P_n,N,eta_t,phi_b,l1,l2,accuracy,reach,robot_weight,pose_stabilisation
0.07762164880704038,0.8498302379139216,387.9061683593288,0.8792065561974546,164.57965299695576,176.34335274551339,0.9859308773044104,2.0298353057073255,0.4082995524204874,0.41164313617734966,0.017331870908146363,0.819942688597837,23.19942688597837,0.75
0.037709004399025546,0.8890355528816726,432.14729729408305,0.9928837059839823,150.29514903286832,64.08580826771653,0.9542818130499904,5.3806080899183,0.3563297536091175,0.4103588611033402,0.02330660365352945,0.7666886147124576,22.666886147124576,0.757
0.07605068626845202,0.9305942811654189,498.94565311324476,0.9332264681526072,165.94673607408407,59.195806177795134,0.9892655221203139,2.329893707219571,0.40923378967427354,0.40515170286133717,0.015902991517342202,0.8143854925356107,23.143854925356106,0.736
0.0747314534348739,0.9223237187079726,436.7998253303993,0.986759801584605,154.07321779164067,58.42070386264285,0.9106911416269093,2.595876409949243,0.38662066700125214,0.37409038605097594,0.01918217647366979,0.7607110530522281,22.60711053052228,0.716
0.044278039968360744,0.9078282066962813,455.6651329247508,0.9519646342749386,134.36410044354054,150.71465362452028,0.8919227451940578,4.949043047379919,0.4184862922169108,0.3876282022493285,0.03993504808942083,0.8061144944662393,23.061144944662395,0.72
0.020790912045035727,0.7586593691186336,406.7121300449405,0.8772582657132623,147.37515284236065,147.10935465329518,0.9844344260185534,1.288042514397823,0.3943509757978851,0.43855580333926436,0.030667084749705597,0.8329067791371494,23.329067791371493,0.741
0.0671718932172567,0.8919087658563246,404.1322620232239,0.9466306373602359,149.198909682755,113.03691009869938,0.9181326292340971,4.35932030404005,0.3550397522335257,0.4048068819670926,0.023243556856477277,0.7598466342006183,22.598466342006184,0.743
0.022243882609133393,0.8919550475968958,428.4354494791622,0.9908710936695909,175.51623458877054,72.20758380329949,0.9369425323382731,3.115282268748063,0.401179257129048,0.39742046189938063,0.02192859208031053,0.7985997190284286,22.985997190284287,0.74
0.06676704049241138,0.9757926327328346,490.2026480854578,0.977673511221082,181.64403424684096,43.507179116346265,0.9655222866797563,4.850072984882395,0.38969354235780895,0.41112264578559843,0.00447783157726509,0.8008161881434074,23.008161881434074,0.77
0.016078898168603674,0.9015438806763953,408.53550151637046,0.8942376983825855,162.29460732911684,124.54238896783326,0.8946554113811096,5.1901162665480065,0.4184817097388012,0.37878234620391144,0.0555158357725658,0.7972640559427127,22.972640559427127,0.718
0.09094948838005311,0.8159752272763424,473.93964455211284,0.9770822759383913,140.21281797779238,137.53352837384932,0.8812623205493509,2.480798073395526,0.4289403976363719,0.3815701722018619,0.03737797966614331,0.8105105698382338,23.10510569838234,0.717
0.0461218526935275,0.8400002521819712,451.0513392923212,0.9904383614938885,181.77311729959692,158.49214261385632,0.8841568411027236,5.029093513978522,0.37378457083299144,0.4591030946647124,0.05928080500171595,0.8328876654977038,23.328876654977037,10.0
0.05882569892236082,0.7538033792199237,478.4465189697197,0.8826307841511508,154.2801286993756,104.09862288667784,0.9312579389124291,4.363996143312357,0.40273126267501574,0.4711087046191421,0.05709118980811412,0.8738399672941579,23.73839967294158,0.751
