tau_m_n,tau_m_max,omega_n,eta_m,P_n,N,eta_t,phi_b,kp,kd,accuracy
0.26042167645293857,1.546,1057.6,0.9825968120012947,384.2404213372202,162.5,0.966669978385567,0.0,103.286,21.196,0.00463983858623962
0.036855893393559075,1.546,1057.6,0.8635082338127325,423.89255872362423,162.5,0.8604806222581758,0.0,103.286,21.196,0.0021863651346407664
0.8685955771435198,1.546,1057.6,0.8161803575841236,155.87522712026885,162.5,0.9791617599606031,0.0,103.286,21.196,0.005172733121873496
0.7331683238305945,1.546,1057.6,0.822084208312509,860.5798015686341,162.5,0.7646825793813194,0.0,103.286,21.196,0.001148446809056347
0.27149872716816337,1.546,1057.6,0.7231089854955964,977.3241993511714,162.5,0.7764660680831884,0.0,103.286,21.196,0.012964658318256772
0.539943532928891,1.546,1057.6,0.8471936193719757,548.9703489828867,162.5,0.8712726021665436,0.0,103.286,21.196,0.0014275888890400038
0.7534422590005793,1.546,1057.6,0.9516437137309421,891.8304201220295,162.5,0.9018533107752718,0.0,103.286,21.196,0.0034034457491451953
0.7561701913240247,1.546,1057.6,0.9222324389622083,798.4508150680015,162.5,0.745412559662047,0.0,103.286,21.196,0.002067492635052237
0.7017832861226992,1.546,1057.6,0.7296037213210623,534.3170619740615,162.5,0.8199628313828349,0.0,103.286,21.196,0.0010514881631074058
0.27822114913806856,1.546,1057.6,0.9805616670825201,683.4080421749986,162.5,0.9184872944402448,0.0,103.286,21.196,0.0035321419767370132
0.7771563141998603,1.546,1057.6,0.7518096715705025,767.9488016493297,162.5,0.9455280516806007,0.0,103.286,21.196,0.0045302025986542205
0.2758871973165294,1.546,1057.6,0.8790216575238914,374.71860213161006,162.5,0.9294856094913894,0.0,103.286,21.196,0.002025950762077122
0.7840017228431188,1.546,1057.6,0.8724305651788282,190.2899871725124,162.5,0.7553646182981654,0.0,103.286,21.196,0.0015839247089362019
0.8816026973209933,1.546,1057.6,0.8281045088204455,395.36050467299583,162.5,0.8320495731106243,0.0,103.286,21.196,0.0014290011778971268
0.028566120259550867,1.546,1057.6,0.746508139011286,841.9760282182677,162.5,0.9543863866642475,0.0,103.286,21.196,0.0035434376027823067
0.5661063732195233,1.546,1057.6,0.8139870955291094,890.2189252294047,162.5,0.9999515959227724,0.0,103.286,21.196,0.003790565663715273
0.2946373661572619,1.546,1057.6,0.8493688046857106,286.09140256127375,162.5,0.9439360487493985,0.0,103.286,21.196,0.0018257943162854895
0.05492994929083664,1.546,1057.6,0.8454508834400678,620.2900957031986,162.5,0.7162499170881899,0.0,103.286,21.196,0.0115090620841245
0.9322205853334425,1.546,1057.6,0.7476922023129889,863.2220125300371,162.5,0.8438696631649099,0.0,103.286,21.196,0.0018329407370433204
0.41525761145321793,1.546,1057.6,0.7150524426198316,525.3006487365213,162.5,0.71184298805934,0.0,103.286,21.196,0.019267917500218723
0.9354669492227196,1.546,1057.6,0.7099219355584631,880.5440394226115,162.5,0.9344120399545944,0.0,103.286,21.196,0.004261933849909916
0.1031705908594769,1.546,1057.6,0.8011487387749655,359.52655003981187,162.5,0.8742183792460885,0.0,103.286,21.196,0.003627983160405912
0.43027150457145713,1.546,1057.6,0.9326055633517542,753.7655909010741,162.5,0.8660258623394042,0.0,103.286,21.196,0.0014478543676273992
0.7599013766903857,1.546,1057.6,0.9159280462184001,948.1881195112838,162.5,0.9409609642148125,0.0,103.286,21.196,0.0043388411975221475
0.5920133748458702,1.546,1057.6,0.9468177814384745,117.91599674822032,162.5,0.8076273791283911,0.0,103.286,21.196,2.4019408758059594e-05
0.8038270444784612,1.546,1057.6,0.7123160520928733,222.6167728874239,162.5,0.976247571198194,0.0,103.286,21.196,0.00517160906271763
0.8115836046076018,1.546,1057.6,0.7625080512605951,345.35260562767473,162.5,0.7954894199362301,0.0,103.286,21.196,0.00046020791346715697
0.3741867695958509,1.546,1057.6,0.8162909493329333,321.5586406146484,162.5,0.9512459364932615,0.0,103.286,21.196,0.0014617242891334925
0.054948922690337035,1.546,1057.6,0.9177828305473632,590.2381214175799,162.5,0.7997280070808587,0.0,103.286,21.196,0.0025670834012910815
0.3764571825220689,1.546,1057.6,0.9401395219127016,665.1777562868366,162.5,0.7249916682606674,0.0,103.286,21.196,0.004630223846643133
0.6502105579353218,1.546,1057.6,0.971610478584606,782.3191715014297,162.5,0.7111600728344499,0.0,103.286,21.196,0.00420629894153457
0.3907804707173337,1.546,1057.6,0.82356784757853,988.0718748720409,162.5,0.9416576783196666,0.0,103.286,21.196,0.0013716881095687805
0.7889332664814707,1.546,1057.6,0.7058245127320871,975.6551182752315,162.5,0.8443541999217143,0.0,103.286,21.196,0.0018643934085714742
0.010996519235184129,1.546,1057.6,0.9458875940318678,350.85467147771993,162.5,0.9864730073265906,0.0,103.286,21.196,0.0038782183459252773
0.76768616071132,1.546,1057.6,0.8174919403077354,192.31866744061244,162.5,0.7688913503407868,0.0,103.286,21.196,0.0009637397954861404
0.5726788537417213,1.546,1057.6,0.7585397099845265,979.2327580855173,162.5,0.7710967408014288,0.0,103.286,21.196,0.008740510613076014
0.24765287486197402,1.546,1057.6,0.7205168090866917,988.141087683219,162.5,0.9713552277460273,0.0,103.286,21.196,0.0027428929029086587
0.07802583983295565,1.546,1057.6,0.9945031826509512,297.81699068287617,162.5,0.919712679406508,0.0,103.286,21.196,0.003706500522224987
