tau_m_n,tau_m_max,omega_n,eta_m,P_n,N,eta_t,phi_b,kp,kd,accuracy
0.31678811832240356,1.546,1057.6,0.8952840171402994,575.1615750734512,162.5,0.9490901372807642,0.0,103.286,21.196,0.0029809732114550735
0.9139839185150108,1.546,1057.6,0.7640366447429308,131.76979331530384,162.5,0.9569789982978221,0.0,103.286,21.196,0.004752070506425565
0.5120342782696666,1.546,1057.6,0.7977290615088711,746.0263862904008,162.5,0.8667747088428862,0.0,103.286,21.196,0.0037766350944356095
0.2733634404207524,1.546,1057.6,0.8619887958939891,525.5517707139343,162.5,0.7773999742707182,0.0,103.286,21.196,0.004669261186371232
0.48870251662552955,1.546,1057.6,0.7872935011678233,180.7739940062249,162.5,0.9262810629101694,0.0,103.286,21.196,0.0033089032790331215
0.6988982381576431,1.546,1057.6,0.9855761580091431,404.96575115467823,162.5,0.9151001807614253,0.0,103.286,21.196,0.0037173327409137924
0.6828772535175175,1.546,1057.6,0.9828806463802165,467.2970726798846,162.5,0.7580855386960035,0.0,103.286,21.196,0.0015374605421614174
0.26993009863445755,1.546,1057.6,0.8148276367150615,517.9359768379014,162.5,0.8827678590716502,0.0,103.286,21.196,0.001810006680074945
0.0873531930017806,1.546,1057.6,0.7727407450509853,393.07505233974547,162.5,0.8380293164793992,0.0,103.286,21.196,0.007085560995028106
0.5678288753874121,1.546,1057.6,0.9356740677283752,444.9626322065051,162.5,0.7389812448965714,0.0,103.286,21.196,0.003482743948588274
0.12429347057124812,1.546,1057.6,0.7267503432252883,203.83374755255642,162.5,0.9230854258754133,0.0,103.286,21.196,0.004747917319146588
0.7524200149682121,1.546,1057.6,0.9937651597811201,145.5388299071005,162.5,0.8090058592353886,0.0,103.286,21.196,0.0006099235171539406
0.07386473035161067,1.546,1057.6,0.7160868216255835,642.7116271091459,162.5,0.784485369604506,0.0,103.286,21.196,0.014954490886810001
0.006788711786571623,1.546,1057.6,0.9680467802936363,702.9108556016222,162.5,0.7284589278336806,0.0,103.286,21.196,0.004242336233916011
0.580992179688077,1.546,1057.6,0.7142107622528598,279.3596071121413,162.5,0.8041630008414395,0.0,103.286,21.196,0.009563447686743786
0.31704888689873795,1.546,1057.6,0.9178032910489606,782.3863342552804,162.5,0.8816822276948435,0.0,103.286,21.196,0.0015344522154854268
0.5656718412122087,1.546,1057.6,0.811534406315758,701.1553300066998,162.5,0.8570333387125144,0.0,103.286,21.196,0.0024878263343858136
0.7232081149283816,1.546,1057.6,0.9928870854500444,135.58793305367655,162.5,0.873609943663618,0.0,103.286,21.196,0.002644054424766673
0.8166042323167274,1.546,1057.6,0.9520161114338186,910.0888886417408,162.5,0.9980338694805289,0.0,103.286,21.196,0.0054855112491069
0.5704644135319702,1.546,1057.6,0.7526243085330562,100.26563978261133,162.5,0.719487122679367,0.0,103.286,21.196,0.014430945511287874
0.5281319129819766,1.546,1057.6,0.9433743105510958,863.3374654175783,162.5,0.8334902960303333,0.0,103.286,21.196,0.00068996563583823
0.9951969210544246,1.546,1057.6,0.939419816559196,214.21298873930874,162.5,0.897015012939925,0.0,103.286,21.196,0.0032819337081428923
0.15145020061930467,1.546,1057.6,0.7947954630080345,987.672411665802,162.5,0.7856460743378916,0.0,103.286,21.196,0.008516049044947627
0.5677609837044053,1.546,1057.6,0.8289583846866843,939.9389464211711,162.5,0.881178433541473,0.0,103.286,21.196,0.0013942537111102983
0.37351843019895986,1.546,1057.6,0.7999784931345447,898.4651521832217,162.5,0.8399416304343003,0.0,103.286,21.196,0.003220923351286875
0.49164674286358895,1.546,1057.6,0.7213807365866216,220.0997144731101,162.5,0.9908644619637237,0.0,103.286,21.196,0.004997509459656798
0.21683695725048943,1.546,1057.6,0.9286821920861296,897.9265711090557,162.5,0.7263259165790138,0.0,103.286,21.196,0.0054808346869555935
0.560187240102606,1.546,1057.6,0.7949182879870248,711.9170863581868,162.5,0.8328747056771528,0.0,103.286,21.196,0.0038682405578002745
0.1829837354441654,1.546,1057.6,0.7820536230783215,419.78822685621986,162.5,0.9203113681177963,0.0,103.286,21.196,0.0019895818766828078
0.014562114840810325,1.546,1057.6,0.7029227282935612,932.0376641517543,162.5,0.8371852678125399,0.0,103.286,21.196,0.011770693938225718
0.5094871459137323,1.546,1057.6,0.9157486112335733,334.00226558533063,162.5,0.7330089601720604,0.0,103.286,21.196,0.004761979682408879
0.7459105827633402,1.546,1057.6,0.7636789396915055,655.4763212662152,162.5,0.7945475711712793,0.0,103.286,21.196,0.00044640238810242404
