Variables,Lower,Upper,Units,Description
tau_m_n,0.8280437484856571,0.9462145257008585,Nm,nominal torque
tau_m_max,3.496007047455895,4.320584504163813,Nm,maximum torque
omega_n,1254.9681801334493,1471.6640546518274,rad/s,nominal motor velocity
eta_m,0.7415490440776535,0.9726888261482186,-,motor efficiency
P_n,81.540905340469,109.87886885147933,W,motor power
N,74.6,113.59280191776907,-,gear ratio
eta_t,0.8413376725688431,0.9723447211152928,-,transmission efficiency
phi_b,0.0,9.92,arcmin,gearbox backlash
l1,0.34897670633759953,0.3939648069155323,m,link length 1
l2,0.20864865051242187,0.24770150040040598,m,link length 2
kp,221.94103012638865,242.64528182564317,-,proportional gain
kd,23.57035952999614,29.128777704983456,-,derivative gain
