tau_m_n,tau_m_max,omega_n,eta_m,P_n,N,eta_t,phi_b,l1,l2,kp,kd,accuracy,reach,weight,stabilisation_time
0.9664827984220471,1.4694815231313385,1351.1174560814227,0.9535044965120311,186.59085160246823,118.34870742118174,0.8881439638402698,3.460610876542557,0.5945564510296925,0.39443473408660684,226.03360719157251,13.101466361717366,0.3704151712196303,0.9889911851162994,24.889911851162992,0.833
0.9623601673306695,1.2541423539086618,1469.0404714737576,0.9696855037830461,187.16974717113538,154.87306626426056,0.9362407737035497,2.0572384564448236,0.568662662226812,0.388485983798067,232.2981089360386,11.044065456012548,0.6907976099750376,0.957148646024879,24.571486460248792,10.0
0.8912078452670182,1.220167696938199,1490.9120098393694,0.9876911661845011,155.99846300058408,127.4424377568615,0.8605907508813505,1.268501415692152,0.5918152776278476,0.3919644201392649,184.15041122570003,28.498596466775393,0.0005726500987854877,0.9837796977671125,24.837796977671125,0.802
0.9098881685021607,1.0989217092474264,1208.678723643539,0.9595616217164428,160.07835247219145,126.33980089316837,0.942802310761466,2.8453691183530254,0.5932766965370332,0.3806896936534308,167.95432915384538,11.461955552645675,0.2833021922837994,0.973966390190464,24.739663901904642,10.0
0.927875054439613,1.6805698639620739,1498.7360538817652,0.9816705663465091,107.05008568984289,130.9114956107662,0.8546999265554244,0.7008986266931825,0.5610916330268766,0.39557771491083155,112.40640041290376,32.04813507715606,0.055617273459081296,0.9566693479377082,24.566693479377083,10.0
0.9425179528607958,1.9034548081260074,1286.381449239059,0.9815404629179927,141.9821636014381,139.79475642694302,0.8816125854244556,1.764153167400121,0.5674800381650844,0.38394735112635014,76.01185640309696,14.58734136725256,0.008343655832467597,0.9514273892914346,24.514273892914346,10.0
0.8281503144103187,2.0817487334702633,1277.700607550755,0.9156276513028287,144.36629036031454,140.58660284291298,0.8693272458641004,1.2925114205796555,0.5605670159075496,0.3889129775854332,211.9401615661018,34.15365354553445,0.0015660188030865996,0.9494799934929828,24.49479993492983,0.855
0.9666293537431612,1.394101261371364,1364.7470957925702,0.9484088011308679,109.81239173326567,125.93209370175258,0.9046338467339721,1.4464608823179017,0.5884456506976441,0.3865825083771747,80.28249874986464,10.459309624222497,0.023423587727311124,0.9750281590748189,24.750281590748187,10.0
0.8386995091914636,1.1541186202140317,1347.9041928376214,0.9275747575163178,160.61342644722453,154.31000565914883,0.9230104724382688,4.202113332500088,0.5721456914547141,0.38294271907713795,54.07258654544898,25.79777484391254,0.23443379201921488,0.955088410531852,24.55088410531852,10.0
0.8520886750808013,1.6842242526474898,1366.5056449587091,0.9265025291179265,141.16897372825144,122.69596087967525,0.8863336506570165,0.49436461638305856,0.5968523758134446,0.39040161050904865,145.7304008099984,36.17046831069315,0.03559768713826139,0.9872539863224933,24.872539863224933,10.0
