Variables,Lower,Upper,Units,Description
theta1,-1.5442246735059597,1.57,rad,Angle
theta2,2.2049568918635414,3.14,rad,Angle
theta3,0.0,2.8934546498981755,rad,Angle
theta4,-1.5702154992310071,2.9245128597679315,rad,Angle
theta5,-2.6948189451960225,2.7066868016233547,rad,Angle
theta6,0.5375572221304971,3.065937540698579,rad,Angle
theta7,-1.7212536245559378,-1.57,rad,Angle
theta8,-1.57,1.57,rad,Angle
theta9,-1.9694990157056318,1.6328023254424942,rad,Angle
theta10,-3.098896645936385,3.14,rad,Angle
