bla_1,bla_2,bla_3,bla_4,bla_5
-0.724871964950602,1.10782194746682,0.368877640409564,0.132595640294668,-1.02458659739147
-0.591246838722995,0.301430924894849,0.610219645665292,0.0692812320570115,-0.525208711466287
-0.676578605693197,0.436492504771087,0.829297291194924,-0.185665432640238,-0.744043661349682
-0.512601247812119,0.576856386037723,0.62672069301765,0.0444561750061018,-1.25506730731241
-0.488447580419356,0.401783986976425,0.827056570476376,0.394269846842789,-1.00482959786658
-0.763336320044898,0.814013709142075,0.826653501219482,0.158590866674759,-0.481891503932845
-0.824507929553787,0.616624090791474,0.549879132699941,0.0803982887434303,-0.910709572513547
-0.610025549787848,0.833973310357894,0.366678460373257,0.194626523250018,-1.16740753798442
-0.557223446514178,0.737619924896311,0.311239780438105,0.143884329342506,-0.983664968007733
-0.879380711996285,0.47860885202259,0.839467475138177,0.159796361963177,-1.05036418979994
-0.873798202321962,0.5009721136664,0.960733446522667,0.474358182135866,-0.50878830467116
-0.655382921033886,0.511764383804254,1.05973785761924,0.326504595935804,-0.922798057124571
-0.472623177936434,0.674029554592533,0.930315709087306,0.661931485290545,-0.62501945675239
-0.445301557987148,0.643135016802182,0.543277682222156,0.155377533121207,-1.2221929974981
-1.00416325991981,0.745712909369489,0.731958476108016,0.480284124077781,-0.709433076991765
-0.825280148639052,1.06748239795272,1.03154614012828,0.315557683385515,-0.595760698569414
-0.795262791403698,0.690531096336705,0.526389926781966,0.338385743001049,-0.970030140057715
-0.509916131154063,0.789936727001265,0.754017227823948,0.237197879693246,-1.40593148222717
-0.626045855674051,0.713137075513688,1.05996260979305,0.175106521157585,-1.34138343779543
-0.488135260227203,0.657074203675849,0.684740924889149,0.604706423204678,-0.851895855565746
-0.263964318336805,1.03876675964443,0.711009517798374,0.171499305990396,-1.10636689898039
-1.02140475732019,0.949855943735456,0.734713078058171,0.444917121669017,-0.707472346313101
-0.404866927618864,1.13089628967358,1.0016317690943,0.51534683967592,-0.790545806350905
-0.545255329320245,0.780041258223777,1.11846832307373,-0.011004784354604,-0.825885210354072
-0.83358339107002,0.860727501069033,0.866482854362964,-0.057685368947605,-0.680123808425504
-0.637532130439393,0.854563419824278,1.01140523035142,-0.12329472199839,-1.0163600596685
-0.383186836625448,0.820195484073779,0.827929535428188,0.65885348854149,-0.718792705469258
-0.667723816274333,0.235951262638612,0.884491146732787,0.187085054061352,-0.728380163629624
-0.6464276879205,0.92475593433376,0.552524757027188,0.342382221709319,-0.675873485426034
-0.867004386661683,0.743574679447012,0.959403683350185,0.569528757004715,-0.804990381857097
-0.578250653886239,0.71397197566404,0.958070300839673,0.452181377821193,-1.35593295156573
