theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,d_min
0.20856084354228432,-1.0859031179034286,-0.4761544936434434,0.6035720756787046,-1.2742831276327804,1.4934541841394136,0.31889354071188936,-1.1485396826457803,-1.3008490915353992,-0.5883134810937886,0.29879810281144814,0.4222569818363491,0
0.1922404331747387,-1.2128121056065928,-1.1422374192050784,0.06070857022918097,0.17139623122972125,-1.3696138158328894,0.5546884810802621,-1.5127185949730675,-1.5688957489431963,-1.0574310433696712,0.6030326194818261,0.01113406057229982,0
-1.0300444949177483,-0.8257399586108031,-0.9043184483484332,-0.07118837780742382,-1.0855309949079,0.5747737131813075,-0.8943402176658238,-1.062218444159685,-1.3677768074861698,0.004669145537974817,-0.9123789643134617,-1.2363057309567331,0
-0.9200665987277632,-1.1841669560613233,-1.2551418895426851,-1.053793907630583,-0.19734297474088147,1.0446095356216094,-0.4372177243326838,-1.5220883093397382,-1.2003150210898044,-0.9380256302662802,-0.029543500349931584,-0.9940986489536736,0
1.2194675226173193,-0.7955323163636328,-1.3462540811852912,-1.1323364114760959,0.9009425453567148,0.517631689698981,-1.1870174523817842,-0.8311041186505997,-0.7897354482458601,0.32354216788182555,-0.217571593894619,0.8099989888550265,0
-1.4312901767553337,-1.200625997238132,-1.0786680315161068,1.2889003301532822,0.4230155248018552,0.1682393180661068,-1.035128651912251,-0.7216614985259604,-1.054176778752712,-0.4177955182352677,0.7731290501252928,-0.5943268378520031,0
-0.3217714228973221,-1.059957014684329,-1.312557049135367,-0.5173219467283718,-0.6481156006126134,0.5084178562424506,1.149694063879403,-1.0591325614780573,-1.1989669444417828,-0.6110141541064366,-0.42813196262022213,-0.018828137684193225,0
1.3400558892754388,-0.7931457679850793,-0.9980058001970015,-0.49378765317866335,-1.0636066138344904,0.003280593824561473,-0.11989175804779051,-0.9989532160634812,-0.996495768561586,-0.8109409729174135,-0.6191971578506427,-0.599204967028301,0
-1.2728311276969195,-1.380941439314624,-0.6020435000995606,-0.3215746683840599,1.282943368821886,0.6270804001657535,0.8023941633665614,-1.3468509279191911,-0.7147180175335028,0.5683446829207659,-0.05869839939596888,0.06279073707088245,0
-1.404911390385606,-0.7833785703300565,-0.9968204335497799,1.2176797988127792,-0.6092962001669512,0.24874944647755326,-1.4489781221244118,-0.9801723574898065,-0.9879418194851018,-1.4796451416621124,0.2666146504756033,0.48047298669273286,0
-0.011249105140572091,-1.151183505474602,-1.4589191342974488,0.8226493623260251,-1.4393314940736577,-0.018868827572210645,-0.39858975506771355,-1.0801567312888447,-1.290341932563727,-1.174924306850863,0.3366546717552883,-0.3301756776621232,0
0.11457208058206736,-0.7681254592278199,-0.3149227271337165,1.0212210555603398,1.4398759295781385,-0.05556720799929327,1.1873829134183873,-1.2453923039747528,-1.4654096029334944,0.303434529266005,-0.3162286409164963,-0.1755897879587358,0
1.5139330904380313,-1.0427392627121024,-0.9580212471505926,-0.37658319017247144,-0.1918180146421533,-1.5021380691757624,0.9255167534311755,-0.8438170147001998,-1.2758022232930877,-0.8493991899577534,0.5580944035325648,-1.4077277427081363,0
0.06423637342909494,-1.1527794389956574,-0.6414305982874996,-0.971191442079985,-1.2316934296984847,1.306277193732089,0.37276440345267603,-1.5352432517258279,-1.0923611691427435,-0.35283334357171636,-0.9118575529054158,-1.1440435603335977,0
-0.9781906885413737,-1.2444194354313058,-1.3498610984191886,1.2850847352336927,-0.7662696156177274,1.3691768099537447,1.4896697665617784,-1.500013839308085,-0.8958732761079737,0.4408340408527631,0.023350458033186472,-0.48421929396959384,0
-0.21642023701687374,-1.4807301331545257,-0.8271314048304044,1.418122839075928,0.8541190368285025,0.5076163663467697,0.646202591396593,-1.3084121978506897,-0.6358928342543803,-1.4374059145949325,0.6951543128560309,0.4470269911587761,0
-1.2010362397268313,-1.4623879326443243,-0.468798462129006,-0.9931634548976161,0.3120619653754486,1.1761248082296383,0.21178707654487527,-1.2256544590157643,-1.1096481960575733,-1.3964848139160075,0.7683798094977443,-0.7541018446373395,0
-0.975398636147239,-1.28895642986758,-0.31397553364718167,-1.1700890516428748,-1.1874459354664122,0.019875985288787534,1.0362602225593485,-0.7240337498462269,-0.6988237567228814,0.6044356225940777,-1.1064927916452816,0.3519821481812857,0
0.14342167941449002,-1.0915863508486132,-0.39212591962033083,1.3555538483374752,-0.6250211078078493,-0.0358460975961854,-0.13689188618820558,-1.2350961598665067,-1.1959398649735864,-0.6500261122604764,-1.18930360218105,-1.285828346893318,0
0.8787913097590587,-1.1662744607659048,-0.3542004426933727,0.32061437790922254,1.4639682041295907,0.3015736171559307,-0.9237258499391563,-0.7241737615388443,-1.343758982534303,-0.3675975465766268,0.695828766960537,0.7655752701987266,0
-0.8278282328956701,-1.470596108852493,-1.2820508278466596,-1.2591901297769899,0.3328896769980343,1.1547003148566752,1.2950892203683153,-1.1043065990520176,-0.9224381456977074,-1.081093635691107,0.39383894716670964,-0.05384885255198624,0
1.143389643665156,-0.7808308610674244,-1.0500544656747575,-1.1807584031408722,0.9940259171510786,-1.2394268292580477,1.399478066728846,-1.2420584604517708,-0.7726650825939935,-0.31140449591121433,-0.9820527864919548,-0.7311200606975504,0
0.4810225189716506,-0.9924155278126373,-0.9463433235947496,-0.7833797964122718,-1.2073612000907854,-1.5035952287035783,1.3711428324564976,-1.4071139596396194,-1.4589895335765282,-0.4087585692834905,-0.23207256148542732,-0.30372265930507303,0
-0.198864083476044,-0.7455870655599065,-0.8848265018467236,-0.06584988392523972,-1.4334883052798333,-1.0000949938669144,0.29188382180979433,-1.372383925108723,-0.9104183038865005,-1.424406767921707,0.7965196555959522,-0.39306911594216265,0
1.2458118667947928,-1.1436675747686489,-1.3934180621565975,0.925008023762586,1.334003468716715,-1.258784735439191,-0.2255466285821377,-1.0169983445575714,-0.6842643907197469,-0.10548827135076855,-0.6148701405549822,0.04815784598253847,0
0.5396221522481712,-0.7718275553588396,-1.0225782744940504,-0.21800365845096525,1.1227765325448307,-0.11680999203636011,0.7428395123834017,-1.1714963910479819,-1.3470786554951282,0.15395838405346773,-1.0970943148748253,-1.0096174606015083,0
