theta1,theta2,theta3,theta4,theta5,theta6,d_min
2.54220964882029,0.5057219635781216,0.3461907180045065,-0.7912060007479508,-5.097132510531122,5.973816736557654,0
2.547909282878535,0.5444224580927114,2.5775994364149675,-0.6595257463062913,-1.6227768156387796,5.3601682599384395,0
2.5295117727355048,0.5324197622008922,-4.339779657721748,-0.8095751079491491,0.685584924918885,-5.478455263331558,0
2.55043198365806,0.5494028624494119,4.626020858582006,-0.6527532939052163,5.911967186399985,4.937601283806804,0
2.5531346517686786,0.5453139852507902,-4.0138985049279965,-0.7986536652109211,-4.3421239796316,2.29909485272523,1
2.539733175791153,0.5234659670533008,-4.298415315387167,-0.8167213566829176,-0.3823790103758524,-3.900239729901372,0
2.555236071041271,0.5144435217202094,-3.2993874127735103,-0.7405795205754575,-0.7893718989635259,4.178438142486438,0
2.5514414443950364,0.5519237014400077,-0.07659422287332607,-0.7476459167247509,-1.413271559381009,-2.6585990146361342,1
2.53681175226444,0.525894872281047,-1.0879855487293035,-0.7181882026189621,3.6037701814268592,2.070526758795924,0
2.530011506286091,0.5014780295695024,-4.196837648613213,-0.7134065606062341,-4.524149703516622,-4.841502276388174,0
2.5473316055818613,0.5206847544208223,-3.9843525180311357,-0.7451732619947945,1.692062099207421,0.6729572722644273,0
2.543100475582158,0.511371481552773,-2.5819151493605776,-0.7949561692226756,-3.5848165093867133,-1.14888023481857,0
2.5295890048896514,0.5090973685894287,2.87042284755635,-0.7222407525486642,-2.5924624024504537,2.0336714249698025,0
2.5311809265078273,0.5445282955136221,-3.5939740919694536,-0.814386755709881,3.9440960314053948,-4.182820125959239,0
2.5319531645682143,0.5415923663423061,-0.46385748899249,-0.7752198138613889,-4.254426455337962,0.013122375298245892,0
2.5311146671973686,0.5055968352330036,0.8379668336886645,-0.7065504422729033,-2.493008160302671,1.6363493695732387,0
2.5310782700505206,0.5277583255983482,1.0686121243336473,-0.7943675597981849,5.131773475287544,2.508321600663014,0
2.5533083783355215,0.5434231776149056,-1.1111589783440516,-0.6389505464583003,-0.6360195330740144,-2.860645983224803,1
2.539707288232581,0.5310628387391088,-4.71203243481189,-0.7486987382726261,-2.4371848006678047,0.994997785910213,0
2.5409582042464245,0.5396077767318973,-1.5594386624640189,-0.7958314100795465,-0.8529114204246975,1.5989990392226865,0
2.5308177552299687,0.5186447594227944,1.575665556322467,-0.7563933382280759,-5.757325976294631,-0.07547531028884258,0
2.5362078228698555,0.49975136950076776,-0.012772735269334312,-0.7986810817983171,-4.137352315176711,5.3395086868125725,0
2.549897832466763,0.5133325733618733,-2.1600696381501785,-0.7742050236197184,5.759503718312554,-0.22226883199717307,0
2.5344457218174985,0.5228896590181491,-3.6210013032877524,-0.7911534595015545,5.499100274485785,0.9009043378435067,0
2.5466749277762415,0.5336861431011007,2.4780136996558912,-0.7592768551958256,-0.7672720585686132,-6.00855227670305,0
2.5521672524168113,0.5374125223275514,-1.8544683340159493,-0.7674175815059334,-4.9162886913388295,2.1633355685800355,0
2.542090012436658,0.5017367491507516,-5.556837177215406,-0.6455728275153539,-4.926773718793939,5.225108774928356,0
2.5389485111116366,0.5294952456509818,3.713242348108208,-0.6980183505181122,4.142159173743109,3.8716384891276308,1
2.5390795273806046,0.5362327506430867,4.646957024322289,-0.7407878726664303,-3.0650784624709098,5.476707239814979,0
2.5413561906663213,0.5516056788203815,1.7832849895929401,-0.7531088737049851,4.91946646416172,3.122516724379282,1
2.5302694906906904,0.5272466783201455,2.875717075862152,-0.6964799157593591,3.41647614731401,2.0304654653870786,0
2.549736532955085,0.5132843398759808,0.907026625784038,-0.7058031206881252,5.486373170704268,-3.2534095779285996,1
2.5347781217289005,0.525044149847029,-5.137011625183169,-0.7425096639842368,1.2482478615017945,4.704499232918553,0
2.5423371684812484,0.5515606491704478,-0.3144046798663913,-0.7269650340821674,0.009309298701419166,-4.472647367956291,1
2.533418782664604,0.5351173262472346,-1.4648042471486464,-0.7661259527501268,-4.749783741865649,0.07950394115515014,0
2.5301445097209743,0.538939982998477,-1.6086992349942726,-0.7081069648579721,2.7055135479744683,3.0016390891792044,1
2.544431130770777,0.5360785664871505,-3.5563872205740235,-0.7386080344869707,-2.500084431231397,-0.1433843903847416,0
2.545333888631031,0.5071471444537384,-0.2744143414644631,-0.7992850578220402,-5.967764788188621,0.6932874116249179,1
2.542117549871157,0.5222956461455441,3.88407246209138,-0.7285411543388949,5.855872816518363,1.2062944686237227,0
2.5392616036741464,0.5034182896754902,-1.2039120232347846,-0.694951921559279,-6.055969993249034,-4.9091514006223695,0
2.54747301410936,0.5087962100547067,-5.20948114621622,-0.6718428246744924,1.3315587079921372,4.618801259426701,0
2.5559552901876876,0.5501791446395025,0.8379172954871903,-0.7494537509368301,1.9082536812844753,4.615682334809201,0
2.541465918337739,0.5182570063662685,3.93385587846803,-0.6477752640774341,3.9761036686043143,-4.957707317032191,0
2.5429714096908294,0.5123784809596194,3.6436865744632634,-0.7945930334406068,-2.3821964955136252,-4.472968521882448,0
2.5421471970386023,0.5435917817883792,-4.818642897811468,-0.6700788521259538,-4.829444800363142,-6.014380914814313,0
2.5423761459611,0.511113337120841,0.6025326027319133,-0.8157475429135218,2.2697744566018008,-1.3360014621897252,0
2.535215128339978,0.5340153221837556,2.2338640639817378,-0.8094503382171676,-5.733953221119333,-4.0003799754676574,0
2.540329785020042,0.5040261910996506,3.1602959481830535,-0.7152393430291597,-5.66136825370942,-1.5874064209477812,0
2.538760432422471,0.5463505096926847,1.9181083526663318,-0.6461310319309317,5.33601387486686,-5.035138941756764,0
2.532977200521346,0.541362852738661,2.803795992615081,-0.6995227659086968,3.5102379120878906,1.789589946504079,0
2.5350513783742747,0.5257602680645854,-0.15182761596862182,-0.7901912610651023,4.491106130179323,-0.46723996814544044,0
2.548984910788074,0.5441313022413496,-1.9490795013519473,-0.6873005917879544,-0.2778614382617528,-1.0438695304482444,0
2.5563678532981635,0.5075028387307174,1.627478698200087,-0.7255544418134043,-1.513931158629772,2.332936418926674,0
2.543158103516734,0.5310630977972919,-3.1866019614704126,-0.7494783045729416,-2.1557832651411086,0.4450609602648399,0
2.546261292117448,0.5091656930187297,3.2429010552048627,-0.711797982143242,1.6694454236013163,-2.6607654858682808,0
2.5416784066526334,0.5498681341395699,-0.2800526870701674,-0.7323829045965613,-4.620788363492609,1.4366095412065123,0
2.5414097942953653,0.5172006844989284,-4.021896883915904,-0.686476024533937,-4.554156398725205,5.76353588861805,0
2.554336918747192,0.5232448532755998,-2.6313644393624585,-0.7007346584936992,5.602099908985669,-3.097505075779809,1
2.543332261744124,0.5357201819407815,2.4700546538116477,-0.647870744580939,0.8157796800938701,0.9097272562651524,0
2.5370240218385316,0.5257763888401159,-2.170677511933759,-0.6434560476244175,-0.09855561237261057,1.2508936255240108,0
2.539150786324527,0.5331200275588083,-0.16682294054904823,-0.7963505965835692,1.9827628601090295,-1.0222797420728336,0
2.541556763182731,0.5102909866115561,0.1814401281834339,-0.6886845917283702,3.297403767207393,-2.882081142168193,1
2.5569751828999516,0.5365101596971142,-2.628936376198569,-0.7821783260849777,5.477760939999345,-0.7799252927836591,0
2.537531084415127,0.5238257813556846,1.772421489030659,-0.6567543908472346,3.5205867635019663,-0.25911827459577363,0
2.534164761744124,0.5456467294859912,-2.7185375288198093,-0.7964766300057777,-4.79190907015396,4.4027030106362295,0
2.5331190581381935,0.5324154772571776,-2.2679578081104568,-0.7955425874172842,-6.125478265239148,-0.5737663992676634,0
2.551839063467683,0.50765120633545,0.21766763029834735,-0.6677109322521236,-2.4877919634823056,5.2556302076753605,0
2.529291477605321,0.5270791871346057,-3.5648632526265414,-0.6845156295660113,-2.714110020427671,4.231421040541384,0
2.5477303237716526,0.5106155957279548,-5.409990317080625,-0.6780685871561116,-5.144064469079293,4.9867394901416136,0
2.5444567319206333,0.5077549074810594,-0.9007683918758582,-0.7824757592007457,-3.790554906206003,5.157616132763919,0
2.5389524106773784,0.5272468846829327,1.3937576639395974,-0.6735020337049006,1.3304202312554594,3.7866115443942556,0
2.5324860937284632,0.5202559562760187,-0.7239350502597519,-0.7949577727955294,5.373110602963842,3.4176814927510195,1
2.5323331869439203,0.5477126876114491,0.6592124995362676,-0.7475939002380445,-4.710958587921123,0.0569092368239108,0
2.553582129404587,0.5297308850794035,-0.4295373622587526,-0.6494460444929131,2.9468409147056294,-3.8553988746865646,1
2.53565548189588,0.5075254402936084,1.6090670519422199,-0.7325421049027446,-5.595476043709327,1.4608406622898125,0
2.537642949830447,0.5144481199431769,-0.47198287584234233,-0.7691994394045021,-5.127984166848073,-3.9748226452631936,1
2.542681894730111,0.5375618738675435,-0.2672249892700158,-0.6866521763002637,0.909509163480485,-4.457164001406976,1
2.549612941668908,0.5134983715836675,0.20830933253839934,-0.6598881700363692,1.8743684298810797,5.5338657857757125,0
2.556423026181844,0.5450590340729896,-1.4047191810878923,-0.7065060989122336,-4.782627870956328,-4.595771699998068,0
2.5325024859125835,0.5018572667408331,2.655706901557652,-0.7410000772921184,1.6909417147733832,-1.1076551388852378,0
2.55081757634945,0.5239534796362199,3.4722421223841398,-0.6825083258817289,-5.827088481476312,-1.0248954453898333,0
2.5364805867966638,0.5341543843569827,-5.3835034319037325,-0.6343727170425012,2.537147394746264,1.858232936447199,0
2.5534345067072204,0.5079118482798876,3.25689285834048,-0.8182975517368595,-0.8613874685405802,1.582716760619677,0
2.5398891120290017,0.5303293069325952,3.9562298775212117,-0.7591582732587292,5.288478398027608,0.04562954029972577,0
2.55126301907211,0.5016100236750356,4.248112854901947,-0.8118336700218505,-0.0735809197411621,-4.824839542349029,0
2.5516449439326534,0.5072791146399092,-3.724768891798691,-0.6792800067858749,-2.0833266913005843,-4.107189768393582,0
2.5500840898097747,0.5337429360679722,-3.3985746276988285,-0.7634853209277137,4.478243176096451,-1.6043946407141547,0
2.5304903309051054,0.5110235246570707,-2.021781129626724,-0.6327976385419757,5.757870512116214,6.2230337756504825,0
2.5438475748325216,0.5038665126698008,-2.7357860746573044,-0.6341328758931498,-1.4087083087445595,1.7695612504021616,0
2.5420160563068332,0.5084999090695667,-4.314058533985675,-0.7102907757847385,-4.196209739470738,4.223981889310989,0
2.5546649102682566,0.5124497192842571,4.041341700644383,-0.7232694900289959,-4.50155563957619,-0.6500350975253504,0
2.530235780823171,0.5289147752100847,1.938302723905303,-0.7679915687401707,-0.38525370656855973,-4.387547448905703,0
2.55316992637523,0.50360016744195,-3.927822350215534,-0.7490126987330326,-2.611734811249524,-0.12311886743607481,0
2.554183955942006,0.5115575722479059,-0.8722159520370969,-0.7543208163405378,4.3154701126175175,1.7281140780094466,0
2.5417164311410807,0.5358003255420223,0.40983682409081457,-0.7263276708025184,-1.675398685246389,0.4964645868866846,0
2.5491621066197356,0.527492141730015,1.1400376815448885,-0.7066589440085146,4.421314892027483,0.06018102526793534,0
2.5418701584089343,0.5393416389026532,4.520918490400639,-0.6402428690910997,-0.014859000844545278,0.3945226750174955,0
2.5505883080342593,0.5088373278954296,-0.5953546433768242,-0.7722517376624016,-4.050517324591688,-2.0239732167433617,0
2.5538535012605332,0.5265036167899751,-2.943774257822339,-0.6903906666667828,-2.4173594903949263,1.236873525965172,0
2.557721825954412,0.5178393796195515,-3.045591785211309,-0.7703581658747853,6.051482701134245,1.511692833305033,0
2.5297195596193065,0.505487092313543,-2.760556819071136,-0.7905607730214113,5.817932967780208,3.5419849444715057,1
2.553914676798735,0.5111040323420363,-4.463966845520154,-0.8186994669489249,0.6669837582856166,1.9355262630984003,0
2.5437499761532867,0.5053407982803476,4.692021112525213,-0.7970390849026849,3.139793236466974,-1.9280496619081076,0
2.5362051452141223,0.5135176393885987,2.845624421283418,-0.7692388331533109,6.098384528856273,-0.4399333902077176,0
2.5295801362866004,0.5473512210900964,1.1048140614324877,-0.711051973259276,0.6965990793303147,3.7938709245406956,0
2.5485331779434155,0.5026484893543007,3.6011900516876167,-0.711728571369685,-5.6683471877380285,-4.907414423601152,0
2.532702651705094,0.5364381488447514,2.692971625444537,-0.7480640173712045,3.007259244064964,3.7789471968592983,1
2.5350990452473456,0.5173103827747454,0.9629663858994686,-0.8018173035860199,-6.223478430757882,0.1837445369813535,0
2.5553587313264527,0.5158551221084111,1.3016304858989178,-0.6347243612342099,2.155456879229585,-3.295010956190898,1
2.544075630709901,0.5193043954647341,0.6658309256583861,-0.640444664204112,1.1344223510923515,-1.2944327490872043,0
2.538701669420585,0.5459690383888968,-4.179950082780525,-0.6609641441705295,-1.9853976518665055,2.733547694378088,1
2.5522103636146567,0.5245718745031077,-3.5899041664652525,-0.6618693394141852,-4.561524747947894,0.9403914360653021,0
2.543764733751797,0.522366010259633,1.535498944169512,-0.7948194472947129,5.216152429186569,-0.038727552602811244,0
2.530250972221654,0.5235372049806468,1.3003057243699656,-0.653800423709145,-6.058080110641103,-0.5868042487579475,0
2.5355722761338635,0.5180355338568413,4.241235825305884,-0.6541266076132248,3.164656806980939,0.5131593600285873,0
2.5420839360612524,0.5025603862980494,3.7216111191999115,-0.6668708198977286,5.137854069152234,0.37104821438050894,0
2.53900036362927,0.5059484221989622,1.9400594084197964,-0.7160020028372719,-3.248366905969114,-2.2294961195615643,0
2.5571433603387757,0.5059081342358424,-0.8097984128789797,-0.7277476247453613,3.667198779775659,3.564830813758962,1
2.546500856966378,0.5077476267476572,-3.9821678056599055,-0.6596933121083456,3.951858845560607,5.056077853393552,0
2.5470938048600873,0.5436342033667527,2.12914022378368,-0.6626568730447568,1.92070190964382,5.719188818038906,0
2.540444422709679,0.5194155889329597,-1.2285036122443804,-0.7963016815563915,-4.986286287325206,-5.764046588091123,0
2.5302084582559004,0.5139470705876277,2.2545927238741674,-0.7120043646606045,-2.354121440200986,-5.639936338859432,0
2.5535750791428256,0.541365521627862,-4.5715994102942314,-0.6370221285188454,-3.6798219984483618,-2.4859810960775004,0
2.551819478996078,0.5169346987240935,0.6531955543383958,-0.752556817644926,4.556322920585429,-6.264512734850434,0
2.5319275080908894,0.5046457028494099,0.7818609500895652,-0.721790092597194,3.524099087333899,4.2855185500598525,0
2.5297024828291375,0.5137287870527619,2.520756597164702,-0.6496167104894566,2.30172497219469,-3.413143884179438,1
2.5519967499038922,0.5460552988312145,-1.2779315199830616,-0.774872805785578,2.6571690024555297,-4.390297614838126,0
2.555165688830693,0.535145400508864,-2.2848195915558973,-0.6998018309274475,-3.914675996369421,-5.887079077955344,0
2.552596082782653,0.5200934974447255,-1.9583821302364397,-0.7110567909969405,1.1328540075425444,4.388907783607626,0
2.5439464529844464,0.5197388747216253,-1.473506579076691,-0.7176423239973198,3.4280935949791678,4.4649737648897565,0
2.5400765045554463,0.5196847868030378,0.8453944953093071,-0.8091655417676268,6.087198142237605,-1.7391068522916564,0
2.5421397848201925,0.5373225633911267,2.3208973332425105,-0.6615887869930073,-3.562572467968958,-1.0798322620071907,0
2.5495906468498166,0.530088253657569,1.0002557783098478,-0.7162175109381944,-6.040931103412369,-4.201473764772906,0
2.545067655265674,0.5077874831057504,-1.3448577775695796,-0.6958361757370066,4.898644381398255,1.1785116832373017,0
2.5544557335760456,0.5401422574294805,-0.1016598294489377,-0.6420865501550509,0.09159633187046445,6.176687417664607,1
2.5340110616466562,0.5145082291628714,-2.0672057958046772,-0.8007150948189733,-4.686010707487475,4.990115628911416,0
2.5473051652643046,0.5094712433274933,-4.308193380232109,-0.6385102034010699,-5.645472613567615,1.1877691676692566,0
2.543190816093506,0.5012241814682846,0.40047404253671015,-0.7156902764002403,1.2021650100527363,-3.3751164215331357,1
2.5468998492296047,0.5386614514607176,-0.43971685679119865,-0.7044026499766418,-1.3041487592558338,2.2309167908134127,0
2.5406483889481564,0.5080098487775278,-5.014087257242206,-0.7010638191648444,-1.0139388079658875,0.18316313168226817,0
2.5492417199492796,0.5516042659199242,1.9509053372496608,-0.75685428131111,-5.098456143597189,4.894084656242989,0
2.535543520111124,0.5214425110852314,-3.4903291712341904,-0.6414387085445281,-4.038771471517804,-3.773752569182401,1
2.5494448573865576,0.5209283125564741,-4.1410644836599895,-0.7572910052158999,2.932696001309142,4.752273616663669,0
2.535353601706461,0.5053791715590457,-3.3273047396679902,-0.6504096489074322,3.5539792331276265,0.8783687621375709,0
2.544290331314292,0.5181251794600645,-0.19234909565248515,-0.8124399836028315,-5.025727286861238,-3.7127690694572495,0
2.5486390068482505,0.5293225988914032,-1.0247432836456367,-0.754808006738317,2.754565423156744,4.867892871409825,0
2.52996555132166,0.5167424139075394,1.481401727448656,-0.8001708918397452,-1.141201881032548,1.2782909336984183,0
2.5405644104557643,0.5416685792164276,4.190887387176906,-0.6407736593941318,-1.3300162986304302,-4.633274815590679,0
2.5465760305153906,0.532529797527658,0.9014944166623904,-0.7601373095066754,-3.220424878295891,-5.037508215883432,0
2.533625658898347,0.5059873579943013,4.075715187453541,-0.8179965448291187,-3.9467773460191453,0.276474505163395,0
2.539488860533184,0.5272088713483485,1.6684614909084603,-0.7610033105278287,5.769214286303241,1.9156411614534496,0
2.5504749317620545,0.5420172400500504,4.713370407748274,-0.7510151351233076,3.3259326207468627,4.731487613643618,0
2.5482295196752682,0.5384079042980415,2.23187095360604,-0.6541698170688826,-5.377913915283773,-4.549313188746767,0
2.537214599212277,0.53076005336945,2.246949712651749,-0.671971920846792,1.4664576092110018,0.5320968929156944,0
2.5387417305978897,0.5083630018526898,-2.8772993148052235,-0.6492108725521009,1.0579019223689006,2.953225609646595,1
2.5361079488269556,0.5375235213403855,0.39558770859780257,-0.6896588389239251,3.4207535251925743,-3.682422094423762,1
2.555042443711771,0.5291232081959063,-4.889459584580589,-0.7697112474951612,-2.957379971939533,4.351770413013539,0
2.544863499020822,0.5308659378536218,-1.6020078536391615,-0.6751860005827102,2.6406797287799906,4.412763196491681,0
2.549618249351334,0.5463283362018059,0.6200159999033383,-0.6388887267317012,-3.2053559405301737,-4.254648970579833,0
2.5496643367115084,0.5245836587033642,-2.588104885170049,-0.7172482101205465,-0.11796458117088893,0.37360556725217453,0
2.539395888275531,0.5087140980801331,0.4215489766705147,-0.7461927425500721,5.680256431021783,-0.22569365959543664,0
2.544558252729907,0.508581994153381,0.6434660226509088,-0.7139935521837655,-3.1000013470498846,-5.902514490759595,0
2.5363155633469656,0.5495316807967943,0.26310218153065357,-0.8154989621199686,-0.43942250221473156,-1.2503323597193043,0
2.5516348528648147,0.536580934531622,4.519887085000372,-0.6391692374308419,3.034679787107833,-0.3923832295047571,0
2.5382571615001415,0.5325826943879626,0.6445930576321652,-0.810349922224668,-1.9794098192585041,3.6983803030283076,1
2.5328707134736588,0.5130271368367368,3.8738596383770343,-0.7231490664620942,5.322718450130343,-0.7788505873201199,0
