tau_m_n,tau_m_max,omega_n,eta_m,P_n,N,eta_t,phi_b,l1,l2,kp,kd,accuracy,reach,weight,stabilisation_time
0.8722799025530694,2.251682675661188,1214.260475776405,0.8153416213190146,112.13798466531372,142.64939281471354,0.33250244734440054,7.6231443776023875,0.23401343434285085,0.28021988957844063,161.71196096661032,24.98323311610988,0.022109810250200534,0.5142333239212915,20.142333239212917,0.932
0.613901969248077,1.9783642516746267,1136.1289054628892,0.9591378897249175,114.91229377414004,145.7546182144934,0.510360838189777,5.75535421454577,0.41658902557377886,0.2598232967930513,162.36899856153133,25.423615331099302,0.0030441379465110997,0.6764123223668301,21.7641232236683,0.878
0.7596372504071385,2.932351372433435,1184.939568513546,0.9833226467489161,113.53304616048194,130.60820061707727,0.39980738886512146,1.5086898178667092,0.1150302280122035,0.2172509554982623,155.77215448263482,25.179061342762978,0.24769403991203812,0.33228118351046576,18.32281183510466,10.0
0.6796965725366279,2.0001840184728024,1434.2095778389148,0.7904044078864955,123.99475968594996,118.80204162834391,0.790658408236375,4.902026531306885,0.19958373932393145,0.30187777253953535,159.9303860682418,25.192505787422025,0.00029720081886490054,0.5014615118634668,20.014615118634666,0.591
0.8435715023913447,2.119530199240358,1310.8046753346725,0.9257209617170606,129.5923667372021,130.6276488380116,0.803235297070083,5.027135188245572,0.4837730352646512,0.23528497734794826,163.06448534552382,25.33906911157486,0.00031780534472547185,0.7190580126125995,22.190580126125994,0.581
0.7827286290214103,2.1120182552328823,1412.7546281556054,0.8649544622587533,118.93909784918688,148.8783300516988,0.9150998561794277,3.3352516145043314,0.18854928617479713,0.29735126753375907,157.1034763541477,25.43990820605272,0.03659600376349506,0.4859005537085562,19.85900553708556,10.0
0.7941826887335852,2.025046478895765,1480.330530746623,0.8467583216871176,94.92611793170767,133.04479991370596,0.7150229846757665,1.4421559017217267,0.18940177705333974,0.27868441362162333,161.86319350561587,24.883754541932003,0.00020394717528376532,0.46808619067496304,19.68086190674963,0.773
0.7043796981427163,2.9802478203117406,1301.0069307821018,0.8370256375718693,102.83324135296729,143.98133274959844,0.37307199041317907,5.722513200019292,0.46819004476137915,0.27262534307739794,163.89622476582818,25.157631230821455,0.02535472042632812,0.7408153878387771,22.408153878387772,0.9400000000000001
0.6166669057053532,2.633336530460081,1196.790048854323,0.9796934324858175,100.7340012769997,121.2055840772834,0.8435546043329396,2.9063954022918126,0.24657120825283588,0.2757336783787895,157.4339303611158,25.415640483201074,0.00011624370865027535,0.5223048866316253,20.223048866316255,0.631
0.7183939829667696,2.043886406941694,1154.925799731812,0.985376680128454,121.819864355372,123.39821593961028,0.5103438281589033,4.554164634437734,0.45176762403008996,0.2156591240281448,155.9500689434682,25.24466705851132,0.0022253295347724744,0.6674267480582348,21.674267480582348,0.906
0.6839719490885614,2.5469273121192417,1310.1148691928597,0.8335991877856148,126.86695083027413,125.04874942654996,0.7952290805224294,5.8086941399846745,0.175403606978331,0.2772333759228025,161.9201791909833,25.495805764987317,0.00017028324628287628,0.4526369829011335,19.526369829011337,0.579
