Variables,Lower,Upper,Units,Description
tau_m_n,0.65035,1,Nm,nominal torque
tau_m_max,1,2.78,Nm,maximum torque
omega_n,906,1500,rad/s,nominal motor velocity
eta_m,0.895,1,-,motor efficiency
P_n,629.0037633,708.4678793,W,motor power
N,120.2,176,-,gear ratio
eta_t,0.853,0.949,-,transmission efficiency
phi_b,0,5.04,arcmin,gearbox backlash
l1,0.559,0.6,m,link length
l2,0.378,0.397,m,link lrngth
kp,140,140,-,proportional gain
kd,22.18,22.18,-,derivative gain
