Variables,Lower,Upper,Units,Description
F_2,358972.39155603753,637697.1616753136,N,Force
m,1918.259141098807,2405.486231027878,kg,Mass
F_1,102489.8654080958,396713.9823661557,N,Force 
v_0,7.270542210628637,12.05415717380826,m/s,Velocity
d_1c,0.15946128370084967,0.49846976361718837,m,
d_2c,0.2103810716740923,0.49121249865423894,m,
