         1437625 function calls (1419330 primitive calls) in 1.605 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _nanfunctions_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 html.py:1(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:115(_localized_day)
        2    0.000    0.000    0.000    0.000 indexing.py:2179(_setitem_single_block)
      120    0.000    0.000    0.000    0.000 base.py:773(_view)
       63    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1571(__init__)
      120    0.000    0.000    0.000    0.000 numeric.py:64(zeros_like)
        1    0.000    0.000    0.000    0.000 six.py:1(<module>)
      118    0.000    0.000    0.000    0.000 inspect.py:3097(replace)
      181    0.000    0.000    0.000    0.000 missing.py:728(is_valid_na_for_dtype)
        1    0.000    0.000    0.000    0.000 hashing.py:1(<module>)
       11    0.000    0.000    0.000    0.000 typing.py:1855(__new__)
      252    0.000    0.000    0.000    0.000 arrayprint.py:801(_extendLine_pretty)
        1    0.000    0.000    0.000    0.000 category.py:1(<module>)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:1(<module>)
        3    0.000    0.000    0.000    0.000 missing.py:1(<module>)
        3    0.000    0.000    0.000    0.000 dataclasses.py:568(_init_fn)
     2955    0.000    0.000    0.000    0.000 _parser.py:240(__next)
       61    0.000    0.000    0.000    0.000 fromnumeric.py:1130(argsort)
     1855    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      974    0.000    0.000    0.000    0.000 common.py:123(<lambda>)
        1    0.000    0.000    0.000    0.000 tempfile.py:1(<module>)
       13    0.000    0.000    0.000    0.000 accessor.py:176(add_delegate_accessors)
        2    0.000    0.000    0.000    0.000 managers.py:372(setitem)
      180    0.000    0.000    0.000    0.000 {built-in method _operator.mul}
      567    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath._make_extobj}
     1117    0.000    0.000    0.000    0.000 flags.py:51(__init__)
        1    0.000    0.000    0.000    0.000 printoptions.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _strptime.py:121(__calc_date_time)
        1    0.000    0.000    0.000    0.000 hashlib.py:1(<module>)
     1319    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      183    0.000    0.000    0.000    0.000 inspect.py:2812(replace)
      240    0.000    0.000    0.000    0.000 cast.py:550(maybe_promote)
       13    0.000    0.000    0.000    0.000 accessor.py:63(_add_delegate_accessors)
        1    0.000    0.000    0.000    0.000 pivot.py:1(<module>)
        3    0.000    0.000    0.000    0.000 indexing.py:1176(__getitem__)
       51    0.000    0.000    0.000    0.000 typing.py:1123(_generic_init_subclass)
       64    0.000    0.000    0.000    0.000 common.py:37(wrapper)
        1    0.000    0.000    0.000    0.000 csv.py:1(<module>)
        2    0.000    0.000    0.000    0.000 blocks.py:1373(setitem)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
     2946    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       60    0.000    0.000    0.000    0.000 managers.py:2095(create_block_manager_from_blocks)
      248    0.000    0.000    0.000    0.000 __init__.py:668(usesTime)
        1    0.000    0.000    0.000    0.000 ipaddress.py:2332(_IPv6Constants)
        1    0.000    0.000    0.000    0.000 _mixins.py:1(<module>)
     1212    0.000    0.000    0.000    0.000 docscrape.py:87(is_empty)
        1    0.000    0.000    0.000    0.000 lzma.py:1(<module>)
        2    0.000    0.000    0.000    0.000 series.py:5773(isna)
     1526    0.000    0.000    0.000    0.000 enum.py:1128(__new__)
        1    0.000    0.000    0.000    0.000 platform.py:1(<module>)
        3    0.000    0.000    0.000    0.000 expr.py:279(disallowed)
        2    0.000    0.000    0.000    0.000 generic.py:8693(isna)
        1    0.000    0.000    0.000    0.000 string_arrow.py:1(<module>)
        1    0.000    0.000    0.000    0.000 csvs.py:272(_save)
     1924    0.000    0.000    0.000    0.000 typing.py:781(<genexpr>)
        1    0.000    0.000    0.000    0.000 multi.py:227(MultiIndex)
        1    0.000    0.000    0.000    0.000 datetime.py:1(<module>)
       60    0.000    0.000    0.000    0.000 api.py:386(default_index)
       35    0.000    0.000    0.000    0.000 ipaddress.py:2256(__init__)
       64    0.000    0.000    0.000    0.000 common.py:43(_unpack_zerodim_and_defer)
      198    0.000    0.000    0.000    0.000 inspect.py:1806(_check_class)
        2    0.000    0.000    0.000    0.000 c_parser_wrapper.py:60(__init__)
      509    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
      120    0.000    0.000    0.000    0.000 frozen.py:76(__getitem__)
        3    0.000    0.000    0.000    0.000 timedeltas.py:1(<module>)
      504    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath.dragon4_scientific}
      248    0.000    0.000    0.000    0.000 <frozen genericpath>:133(_splitext)
        1    0.000    0.000    0.000    0.000 sql.py:1(<module>)
  524/438    0.000    0.000    0.000    0.000 typing.py:1285(__hash__)
      567    0.000    0.000    0.000    0.000 {method 'reset' of '_contextvars.ContextVar' objects}
      582    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
        1    0.000    0.000    0.000    0.000 types.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dtypes.py:1164(IntervalDtype)
        3    0.000    0.000    0.000    0.000 concat.py:1(<module>)
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
        7    0.000    0.000    0.000    0.000 dataclasses.py:661(_cmp_fn)
        1    0.000    0.000    0.000    0.000 floating.py:1(<module>)
       52    0.000    0.000    0.000    0.000 core.py:938(__init__)
        8    0.000    0.000    0.000    0.000 nanops.py:68(__init__)
        1    0.000    0.000    0.000    0.000 _shape_base_impl.py:1(<module>)
      913    0.000    0.000    0.000    0.000 base.py:831(_reset_identity)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetimes.py:106(DatetimeIndex)
      460    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
       60    0.000    0.000    0.000    0.000 {method 'all' of 'numpy.ndarray' objects}
      993    0.000    0.000    0.000    0.000 <frozen posixpath>:52(normcase)
      130    0.000    0.000    0.000    0.000 series.py:978(__array__)
        1    0.000    0.000    0.000    0.000 interval.py:159(IntervalIndex)
      480    0.000    0.000    0.000    0.000 take.py:325(_get_take_nd_function)
       23    0.000    0.000    0.000    0.000 nanops.py:70(<genexpr>)
     1288    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      768    0.000    0.000    0.000    0.000 typing.py:1592(__eq__)
        1    0.000    0.000    0.000    0.000 _core.py:639(PlotAccessor)
      273    0.000    0.000    0.000    0.000 arrayprint.py:1013(<genexpr>)
        1    0.000    0.000    0.000    0.000 csvs.py:305(_save_body)
        1    0.000    0.000    0.000    0.000 from_dataframe.py:1(<module>)
        1    0.000    0.000    0.000    0.000 masked.py:107(BaseMaskedArray)
      567    0.000    0.000    0.000    0.000 {method 'set' of '_contextvars.ContextVar' objects}
      435    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       63    0.000    0.000    0.000    0.000 managers.py:1782(_consolidate_inplace)
      180    0.000    0.000    0.000    0.000 base.py:5295(_validate_fill_value)
        2    0.000    0.000    0.000    0.000 hashlib.py:82(__get_builtin_constructor)
       16    0.000    0.000    0.000    0.000 doc.py:93(window_agg_numba_parameters)
      278    0.000    0.000    0.000    0.000 typing.py:2510(overload)
       25    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:71(add_newdoc_for_scalar_type)
        1    0.000    0.000    0.000    0.000 base64.py:1(<module>)
        1    0.000    0.000    0.000    0.000 object_array.py:1(<module>)
    379/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
       14    0.000    0.000    0.000    0.000 enum.py:513(__prepare__)
        1    0.000    0.000    0.000    0.000 ewm.py:133(ExponentialMovingWindow)
        1    0.000    0.000    0.000    0.000 range.py:1(<module>)
        1    0.000    0.000    0.000    0.000 csvs.py:315(_save_chunk)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1569(_IPv4Constants)
        1    0.000    0.000    0.000    0.000 parquet.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _odfreader.py:1(<module>)
        1    0.000    0.000    0.000    0.000 expressions.py:1(<module>)
      487    0.000    0.000    0.000    0.000 base.py:591(_ensure_array)
      240    0.000    0.000    0.000    0.000 blocks.py:292(make_block_same_class)
      314    0.000    0.000    0.000    0.000 enum.py:849(__setattr__)
       49    0.000    0.000    0.000    0.000 core.py:129(get_object_signature)
       60    0.000    0.000    0.000    0.000 {built-in method _operator.pow}
        1    0.000    0.000    0.000    0.000 merge.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _twodim_base_impl.py:1(<module>)
      240    0.000    0.000    0.000    0.000 {method 'take' of 'numpy.ndarray' objects}
     1080    0.000    0.000    0.000    0.000 base.py:3809(<genexpr>)
      217    0.000    0.000    0.000    0.000 inspect.py:754(unwrap)
     1134    0.000    0.000    0.000    0.000 _parser.py:256(match)
      240    0.000    0.000    0.000    0.000 base.py:7723(_unpack_nested_dtype)
       40    0.000    0.000    0.000    0.000 fromnumeric.py:2241(clip)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1502(__init__)
      482    0.000    0.000    0.000    0.000 base.py:791(is_)
      348    0.000    0.000    0.000    0.000 enum.py:1543(_get_value)
        2    0.000    0.000    0.000    0.000 indexing.py:1689(_getitem_tuple)
        1    0.000    0.000    0.000    0.000 blocks.py:1(<module>)
     1045    0.000    0.000    0.000    0.000 construction.py:758(_maybe_repeat)
     1619    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {built-in method _io.open}
     2116    0.000    0.000    0.000    0.000 docscrape.py:50(__getitem__)
      248    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
      669    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       26    0.000    0.000    0.000    0.000 core.py:7101(__init__)
      414    0.000    0.000    0.000    0.000 managers.py:1993(dtype)
        3    0.000    0.000    0.000    0.000 common.py:131(close)
        3    0.000    0.000    0.000    0.000 managers.py:2121(create_block_manager_from_column_arrays)
       11    0.000    0.000    0.000    0.000 cast.py:1579(construct_1d_object_array_from_listlike)
     2285    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.000    0.000 array.py:237(ArrowExtensionArray)
        1    0.000    0.000    0.000    0.000 grouper.py:1(<module>)
      444    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
      125    0.000    0.000    0.000    0.000 managers.py:948(from_blocks)
     1527    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      120    0.000    0.000    0.000    0.000 {built-in method _operator.sub}
        3    0.000    0.000    0.000    0.000 common.py:304(_get_filepath_or_buffer)
      774    0.000    0.000    0.000    0.000 _parser.py:176(append)
     1766    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       60    0.000    0.000    0.000    0.000 _methods.py:67(_all)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:1(<module>)
      495    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       61    0.000    0.000    0.000    0.000 {method 'argsort' of 'numpy.ndarray' objects}
      546    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      475    0.000    0.000    0.000    0.000 docscrape.py:97(peek)
        3    0.000    0.000    0.000    0.000 {method 'close' of '_io.TextIOWrapper' objects}
       26    0.000    0.000    0.000    0.000 core.py:7107(getdoc)
      248    0.000    0.000    0.000    0.000 __init__.py:447(usesTime)
        1    0.000    0.000    0.000    0.000 dtypes.py:690(DatetimeTZDtype)
        6    0.000    0.000    0.000    0.000 missing.py:261(_isna_array)
      244    0.000    0.000    0.000    0.000 base.py:456(_engine_type)
       12    0.000    0.000    0.000    0.000 typing.py:1546(__getitem__)
      696    0.000    0.000    0.000    0.000 typing.py:1279(__eq__)
        1    0.000    0.000    0.000    0.000 datetimelike.py:1940(TimelikeOps)
       53    0.000    0.000    0.000    0.000 util.py:58(decorator)
        9    0.000    0.000    0.000    0.000 getlimits.py:493(__new__)
      487    0.000    0.000    0.000    0.000 base.py:609(_dtype_to_subclass)
      208    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        2    0.000    0.000    0.000    0.000 sysconfig.py:636(get_path)
      625    0.000    0.000    0.000    0.000 config.py:617(_select_options)
      249    0.000    0.000    0.000    0.000 generic.py:586(_get_axis)
      730    0.000    0.000    0.000    0.000 inference.py:300(<genexpr>)
       11    0.000    0.000    0.000    0.000 typing.py:1874(__init__)
       20    0.000    0.000    0.000    0.000 __init__.py:339(__init__)
      311    0.000    0.000    0.000    0.000 function_base.py:455(_needs_add_docstring)
        2    0.000    0.000    0.000    0.000 sysconfig.py:624(get_paths)
        1    0.000    0.000    0.000    0.000 tempfile.py:685(SpooledTemporaryFile)
       13    0.000    0.000    0.000    0.000 expr.py:187(_filter_nodes)
      974    0.000    0.000    0.000    0.000 common.py:121(classes)
       23    0.000    0.000    0.000    0.000 overrides.py:177(decorator)
       64    0.000    0.000    0.000    0.000 base.py:836(__iter__)
      248    0.000    0.000    0.000    0.000 __init__.py:170(<lambda>)
      904    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
        2    0.000    0.000    0.000    0.000 sysconfig.py:271(_expand_vars)
        1    0.000    0.000    0.000    0.000 base_parser.py:1(<module>)
       52    0.000    0.000    0.000    0.000 accessor.py:126(_forbid_nonstring_types)
      121    0.000    0.000    0.000    0.000 inspect.py:176(get_annotations)
      182    0.000    0.000    0.000    0.000 generic.py:4402(_check_setitem_copy)
      597    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 putmask.py:129(setitem_datetimelike_compat)
      496    0.000    0.000    0.000    0.000 __init__.py:975(release)
     1191    0.000    0.000    0.000    0.000 __init__.py:42(warn_copy_on_write)
      109    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.000    0.000 _calamine.py:1(<module>)
        2    0.000    0.000    0.000    0.000 cast.py:761(infer_dtype_from)
      550    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       42    0.000    0.000    0.000    0.000 docstrings.py:7(make_flex_doc)
      373    0.000    0.000    0.000    0.000 blocks.py:1253(iget)
      509    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
      603    0.000    0.000    0.000    0.000 range.py:553(equals)
     2246    0.000    0.000    0.000    0.000 base.py:5144(_values)
      123    0.000    0.000    0.000    0.000 expr.py:191(<genexpr>)
        2    0.000    0.000    0.000    0.000 cast.py:878(infer_dtype_from_array)
      182    0.000    0.000    0.000    0.000 frame.py:1643(__len__)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
       60    0.000    0.000    0.000    0.000 fromnumeric.py:2477(any)
        2    0.000    0.000    0.000    0.000 generic.py:6463(astype)
      240    0.000    0.000    0.000    0.000 base.py:3996(_check_indexing_method)
       11    0.000    0.000    0.000    0.000 typing.py:1753(_get_protocol_attrs)
     2078    0.000    0.000    0.000    0.000 generic.py:405(flags)
      473    0.000    0.000    0.000    0.000 functools.py:65(wraps)
      504    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
       61    0.000    0.000    0.000    0.000 shape_base.py:80(atleast_2d)
      300    0.000    0.000    0.000    0.000 {method 'transpose' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.000    0.000 getlimits.py:549(_init)
      210    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
       12    0.000    0.000    0.000    0.000 extension.py:125(wrapper)
      138    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
      289    0.000    0.000    0.000    0.000 <frozen posixpath>:41(_get_sep)
       60    0.000    0.000    0.000    0.000 _methods.py:76(_count_reduce_items)
      716    0.000    0.000    0.000    0.000 typing.py:1629(_value_and_type_iter)
      133    0.000    0.000    0.000    0.000 expr.py:180(<genexpr>)
       26    0.000    0.000    0.000    0.000 core.py:966(__init__)
     1516    0.000    0.000    0.000    0.000 {built-in method _warnings._filters_mutated}
        2    0.000    0.000    0.000    0.000 series.py:5136(reindex)
      101    0.000    0.000    0.000    0.000 typing.py:988(_is_unpacked_typevartuple)
        1    0.000    0.000    0.000    0.000 heapq.py:1(<module>)
        1    0.000    0.000    0.000    0.000 range.py:66(RangeIndex)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
      210    0.000    0.000    0.000    0.000 enum.py:202(__get__)
      168    0.000    0.000    0.000    0.000 _compiler.py:403(_simple)
        1    0.000    0.000    0.000    0.000 align.py:1(<module>)
        1    0.000    0.000    0.000    0.000 relativedelta.py:1(<module>)
      644    0.000    0.000    0.000    0.000 warnings.py:458(__init__)
       17    0.000    0.000    0.000    0.000 generic.py:36(create_pandas_abc_type)
       92    0.000    0.000    0.000    0.000 typing.py:1088(<genexpr>)
        9    0.000    0.000    0.000    0.000 typing.py:1560(__getitem_inner__)
        2    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 rolling.py:884(Window)
        2    0.000    0.000    0.000    0.000 generic.py:5343(reindex)
      487    0.000    0.000    0.000    0.000 blocks.py:214(is_extension)
      667    0.000    0.000    0.000    0.000 __init__.py:55(using_pyarrow_string_dtype)
        1    0.000    0.000    0.000    0.000 pkgutil.py:1(<module>)
      794    0.000    0.000    0.000    0.000 _parser.py:164(__len__)
       64    0.000    0.000    0.000    0.000 range.py:201(_simple_new)
        1    0.000    0.000    0.000    0.000 datetimelike.py:87(DatetimeIndexOpsMixin)
       23    0.000    0.000    0.000    0.000 functools.py:521(decorating_function)
        6    0.000    0.000    0.000    0.000 typing.py:747(Optional)
        1    0.000    0.000    0.000    0.000 contextvars.py:1(<module>)
       60    0.000    0.000    0.000    0.000 construction.py:405(_check_values_indices_shape_match)
       41    0.000    0.000    0.000    0.000 {method '__typing_subst__' of 'typing.TypeVar' objects}
      123    0.000    0.000    0.000    0.000 generic.py:4379(_set_is_copy)
      248    0.000    0.000    0.000    0.000 __init__.py:129(getLevelName)
       52    0.000    0.000    0.000    0.000 ipaddress.py:1920(__init__)
        1    0.000    0.000    0.000    0.000 dtypes.py:945(PeriodDtype)
        3    0.000    0.000    0.000    0.000 dataclasses.py:627(_repr_fn)
        1    0.000    0.000    0.000    0.000 _nested_sequence.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
        3    0.000    0.000    0.000    0.000 indexing.py:1719(_getitem_axis)
        1    0.000    0.000    0.000    0.000 arraylike.py:1(<module>)
       45    0.000    0.000    0.000    0.000 base.py:549(find)
       21    0.000    0.000    0.000    0.000 arrayprint.py:50(_make_options_dict)
      926    0.000    0.000    0.000    0.000 managers.py:1837(__init__)
       60    0.000    0.000    0.000    0.000 _function_base_impl.py:248(flip)
        2    0.000    0.000    0.000    0.000 readers.py:1990(__exit__)
      240    0.000    0.000    0.000    0.000 missing.py:673(na_value_for_dtype)
       11    0.000    0.000    0.000    0.000 typing.py:1999(__init_subclass__)
        1    0.000    0.000    0.000    0.000 generic.py:1329(DataFrameGroupBy)
      542    0.000    0.000    0.000    0.000 missing.py:131(dispatch_fill_zeros)
     2495    0.000    0.000    0.000    0.000 inspect.py:2808(kind)
       40    0.000    0.000    0.000    0.000 {method 'clip' of 'numpy.ndarray' objects}
      500    0.000    0.000    0.000    0.000 common.py:1399(_get_dtype)
        1    0.000    0.000    0.000    0.000 _openpyxl.py:1(<module>)
        3    0.000    0.000    0.000    0.000 indexing.py:1756(_get_slice_axis)
      180    0.000    0.000    0.000    0.000 frame.py:4585(_ensure_valid_index)
      252    0.000    0.000    0.000    0.000 arrayprint.py:787(_extendLine)
       52    0.000    0.000    0.000    0.000 typing.py:1004(_typevar_subst)
       98    0.000    0.000    0.000    0.000 docscrape.py:192(_strip)
        1    0.000    0.000    0.000    0.000 _mixins.py:92(NDArrayBackedExtensionArray)
      142    0.000    0.000    0.000    0.000 _compiler.py:216(_compile_charset)
        1    0.000    0.000    0.000    0.000 dates.py:1(<module>)
     1288    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
        2    0.000    0.000    0.000    0.000 managers.py:421(astype)
        1    0.000    0.000    0.000    0.000 sysconfig.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
      122    0.000    0.000    0.000    0.000 managers.py:2320(_preprocess_slice_or_indexer)
       66    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        1    0.000    0.000    0.000    0.000 isoparser.py:1(<module>)
      244    0.000    0.000    0.000    0.000 common.py:1040(needs_i8_conversion)
      542    0.000    0.000    0.000    0.000 array_ops.py:594(_bool_arith_check)
       44    0.000    0.000    0.000    0.000 getlimits.py:92(_float_to_float)
      739    0.000    0.000    0.000    0.000 typing.py:962(__eq__)
        7    0.000    0.000    0.000    0.000 cast.py:123(maybe_convert_platform)
      533    0.000    0.000    0.000    0.000 _parser.py:293(tell)
      198    0.000    0.000    0.000    0.000 inspect.py:1832(_shadowed_dict)
      490    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
      120    0.000    0.000    0.000    0.000 base.py:1686(name)
       99    0.000    0.000    0.000    0.000 inspect.py:2150(_signature_is_builtin)
        1    0.000    0.000    0.000    0.000 arraylike.py:31(OpsMixin)
        1    0.000    0.000    0.000    0.000 common.py:151(__exit__)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
      248    0.000    0.000    0.000    0.000 threading.py:1485(current_thread)
        1    0.000    0.000    0.000    0.000 mixins.py:61(NDArrayOperatorsMixin)
        2    0.000    0.000    0.000    0.000 exceptions.py:1(<module>)
      240    0.000    0.000    0.000    0.000 base.py:1765(_get_names)
     1606    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 integer.py:1(<module>)
      736    0.000    0.000    0.000    0.000 common.py:152(cast_scalar_indexer)
       95    0.000    0.000    0.000    0.000 accessor.py:94(_create_delegator_property)
        1    0.000    0.000    0.000    0.000 array_utils.py:1(<module>)
     2080    0.000    0.000    0.000    0.000 inspect.py:2796(name)
      444    0.000    0.000    0.000    0.000 typing.py:1634(__eq__)
      557    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        2    0.000    0.000    0.000    0.000 textwrap.py:386(fill)
     1509    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
      171    0.000    0.000    0.000    0.000 expr.py:252(_node_not_implemented)
        2    0.000    0.000    0.000    0.000 indexing.py:1004(_getitem_tuple_same_dim)
     1047    0.000    0.000    0.000    0.000 base.py:1671(name)
        1    0.000    0.000    0.000    0.000 base_parser.py:101(ParserBase)
      180    0.000    0.000    0.000    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.000    0.000 generic.py:4361(_slice)
      496    0.000    0.000    0.000    0.000 __init__.py:831(filter)
      554    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      213    0.000    0.000    0.000    0.000 docscrape.py:56(read)
       61    0.000    0.000    0.000    0.000 {built-in method _operator.add}
      384    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1286(__init__)
        1    0.000    0.000    0.000    0.000 _nbit_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _stride_tricks_impl.py:1(<module>)
       30    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
       19    0.000    0.000    0.000    0.000 contextlib.py:272(contextmanager)
      664    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        2    0.000    0.000    0.000    0.000 blocks.py:723(astype)
     1701    0.000    0.000    0.000    0.000 typing.py:2187(cast)
        1    0.000    0.000    0.000    0.000 datetimelike.py:196(DatetimeLikeArrayMixin)
        1    0.000    0.000    0.000    0.000 isoparser.py:42(isoparser)
     1039    0.000    0.000    0.000    0.000 generic.py:363(attrs)
      167    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
        4    0.000    0.000    0.000    0.000 base.py:7770(get_values_for_csv)
      631    0.000    0.000    0.000    0.000 config.py:649(_get_deprecated_option)
        2    0.000    0.000    0.000    0.000 textwrap.py:361(fill)
       60    0.000    0.000    0.000    0.000 base.py:397(ensure_np_dtype)
      106    0.000    0.000    0.000    0.000 extension.py:32(_inherit_from_data)
        1    0.000    0.000    0.000    0.000 dataclasses.py:638(_frozen_get_del_attr)
      213    0.000    0.000    0.000    0.000 docscrape.py:21(strip_blank_lines)
      382    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
        2    0.000    0.000    0.000    0.000 textwrap.py:347(wrap)
      381    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
       89    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
      196    0.000    0.000    0.000    0.000 docscrape.py:35(__init__)
      266    0.000    0.000    0.000    0.000 common.py:529(is_string_or_object_np_dtype)
        1    0.000    0.000    0.000    0.000 timedeltas.py:103(TimedeltaArray)
      123    0.000    0.000    0.000    0.000 generic.py:592(_get_block_manager_axis)
      383    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
       99    0.000    0.000    0.000    0.000 inspect.py:2492(_descriptor_get)
       40    0.000    0.000    0.000    0.000 _methods.py:99(_clip)
        1    0.000    0.000    0.000    0.000 pydoc.py:494(Doc)
      270    0.000    0.000    0.000    0.000 compute.py:237(_make_generic_wrapper)
        1    0.000    0.000    0.000    0.000 datetimelike.py:430(DatetimeTimedeltaMixin)
        1    0.000    0.000    0.000    0.000 function_base.py:1(<module>)
       30    0.000    0.000    0.000    0.000 enum.py:966(_get_mixins_)
      360    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
      240    0.000    0.000    0.000    0.000 inference.py:195(is_array_like)
       12    0.000    0.000    0.000    0.000 _strptime.py:323(__seqToRE)
      261    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
        1    0.000    0.000    0.000    0.000 sysconfig.py:453(get_makefile_filename)
        9    0.000    0.000    0.000    0.000 typing.py:1542(copy_with)
      100    0.000    0.000    0.000    0.000 _parser.py:372(_escape)
     2156    0.000    0.000    0.000    0.000 copy.py:172(_deepcopy_atomic)
       86    0.000    0.000    0.000    0.000 numerictypes.py:471(issubdtype)
      410    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      432    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       11    0.000    0.000    0.000    0.000 dataclasses.py:760(_get_field)
       28    0.000    0.000    0.000    0.000 _compiler.py:391(_mk_bitmap)
    67/52    0.000    0.000    0.000    0.000 _compiler.py:441(_get_literal_prefix)
      673    0.000    0.000    0.000    0.000 managers.py:196(blklocs)
       87    0.000    0.000    0.000    0.000 _parser.py:449(_uniq)
       64    0.000    0.000    0.000    0.000 _decorators.py:443(__call__)
        1    0.000    0.000    0.000    0.000 printing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 stata.py:823(StataMissingValue)
       14    0.000    0.000    0.000    0.000 functools.py:654(cache)
      328    0.000    0.000    0.000    0.000 common.py:1270(is_1d_only_ea_dtype)
       13    0.000    0.000    0.000    0.000 core.py:8784(__init__)
       63    0.000    0.000    0.000    0.000 managers.py:1764(is_consolidated)
        1    0.000    0.000    0.000    0.000 period.py:80(PeriodIndex)
       31    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       35    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
