         1437625 function calls (1419330 primitive calls) in 1.605 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    30531    0.016    0.000    0.016    0.000 {method 'copy' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.015    0.008 indexing.py:1(<module>)
      120    0.000    0.000    0.015    0.000 managers.py:869(take)
     1955    0.002    0.000    0.015    0.000 __init__.py:280(_compile)
        3    0.000    0.000    0.014    0.005 __init__.py:326(__getattr__)
      120    0.000    0.000    0.014    0.000 base.py:4323(reindex)
        1    0.000    0.000    0.013    0.013 multiarray.py:1(<module>)
        1    0.000    0.000    0.013    0.013 config.py:1(<module>)
      120    0.000    0.000    0.013    0.000 base.py:6162(get_indexer_for)
      121    0.000    0.000    0.013    0.000 arraylike.py:208(__truediv__)
     1288    0.004    0.000    0.013    0.000 <frozen importlib._bootstrap>:304(acquire)
        1    0.000    0.000    0.012    0.012 overrides.py:1(<module>)
     1005    0.001    0.000    0.012    0.000 frame.py:4626(_get_item_cache)
87498/81717    0.011    0.000    0.012    0.000 {built-in method builtins.len}
       55    0.000    0.000    0.012    0.000 _compiler.py:745(compile)
      317    0.000    0.000    0.012    0.000 __init__.py:226(compile)
        1    0.000    0.000    0.012    0.012 _typing.py:1(<module>)
     1230    0.002    0.000    0.012    0.000 generic.py:6284(__getattr__)
      120    0.000    0.000    0.012    0.000 managers.py:623(reindex_indexer)
     2827    0.012    0.000    0.012    0.000 {method 'sub' of 're.Pattern' objects}
      432    0.012    0.000    0.012    0.000 {built-in method _io.open_code}
    91970    0.012    0.000    0.012    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.012    0.012 groupby.py:1(<module>)
       63    0.001    0.000    0.011    0.000 frame.py:694(__init__)
      122    0.003    0.000    0.011    0.000 managers.py:708(_slice_take_blocks_ax0)
      270    0.001    0.000    0.011    0.000 _decorators.py:363(decorator)
      360    0.002    0.000    0.011    0.000 typing.py:1269(__init__)
      180    0.001    0.000    0.011    0.000 base.py:674(_with_infer)
  177/171    0.000    0.000    0.011    0.000 typing.py:515(__getitem__)
       98    0.001    0.000    0.010    0.000 docscrape.py:384(_parse)
      171    0.001    0.000    0.010    0.000 typing.py:694(Union)
      248    0.000    0.000    0.010    0.000 __init__.py:1686(handle)
11176/11146    0.003    0.000    0.010    0.000 {built-in method builtins.hasattr}
      120    0.000    0.000    0.010    0.000 arraylike.py:192(__sub__)
      270    0.001    0.000    0.010    0.000 compute.py:268(_make_signature)
      248    0.000    0.000    0.010    0.000 __init__.py:1746(callHandlers)
      734    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
      248    0.000    0.000    0.010    0.000 __init__.py:1011(handle)
        2    0.000    0.000    0.010    0.005 format.py:1(<module>)
        1    0.000    0.000    0.010    0.010 algorithms.py:1(<module>)
      368    0.001    0.000    0.010    0.000 frame.py:3983(_ixs)
        1    0.000    0.000    0.009    0.009 describe.py:1(<module>)
      248    0.000    0.000    0.009    0.000 __init__.py:1148(emit)
      437    0.009    0.000    0.009    0.000 {method 'read' of '_io.BufferedReader' objects}
      554    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap>:416(__enter__)
        7    0.000    0.000    0.009    0.001 base.py:1(<module>)
        3    0.000    0.000    0.008    0.003 numeric.py:1(<module>)
      143    0.000    0.000    0.008    0.000 _decorators.py:484(__call__)
     1330    0.001    0.000    0.008    0.000 __init__.py:179(sub)
        1    0.000    0.000    0.008    0.008 _dtype_like.py:1(<module>)
      118    0.000    0.000    0.008    0.000 inspect.py:3346(signature)
      118    0.000    0.000    0.008    0.000 inspect.py:3081(from_callable)
        6    0.000    0.000    0.008    0.001 common.py:1(<module>)
  316/118    0.002    0.000    0.008    0.000 inspect.py:2501(_signature_from_callable)
       55    0.000    0.000    0.007    0.000 _parser.py:969(parse)
       60    0.001    0.000    0.007    0.000 construction.py:237(ndarray_to_mgr)
